"id","x","y","type"
1,717055,5401801,"building"
2,717055,5401801,"building"
3,717255,5401801,"building"
4,717255,5401801,"building"
5,717255,5401801,"building"
6,717255,5401801,"building"
7,717255,5401801,"building"
8,717255,5401801,"building"
9,717255,5401801,"building"
10,717255,5401801,"building"
11,717255,5401801,"building"
12,716455,5402001,"building"
13,716455,5402001,"building"
14,716455,5402001,"building"
15,716455,5402001,"building"
16,716455,5402001,"building"
17,716455,5402001,"building"
18,716455,5402001,"building"
19,716455,5402001,"building"
20,716655,5402001,"building"
21,716655,5402001,"building"
22,716655,5402001,"building"
23,716655,5402001,"building"
24,716655,5402001,"building"
25,716855,5402001,"building"
26,716855,5402001,"building"
27,716855,5402001,"building"
28,716855,5402001,"building"
29,716855,5402001,"building"
30,716855,5402001,"building"
31,716855,5402001,"building"
32,717055,5402001,"building"
33,717055,5402001,"building"
34,717055,5402001,"building"
35,717055,5402001,"building"
36,717055,5402001,"building"
37,717055,5402001,"building"
38,717055,5402001,"building"
39,717055,5402001,"building"
40,717055,5402001,"building"
41,717055,5402001,"building"
42,717055,5402001,"building"
43,717055,5402001,"building"
44,717055,5402001,"building"
45,717055,5402001,"building"
46,717055,5402001,"building"
47,717055,5402001,"building"
48,717055,5402001,"building"
49,717055,5402001,"building"
50,717255,5402001,"building"
51,717255,5402001,"building"
52,717255,5402001,"building"
53,717255,5402001,"building"
54,717255,5402001,"building"
55,717255,5402001,"building"
56,717255,5402001,"building"
57,717255,5402001,"building"
58,717255,5402001,"building"
59,717255,5402001,"building"
60,717255,5402001,"building"
61,717255,5402001,"building"
62,717255,5402001,"building"
63,717255,5402001,"building"
64,717255,5402001,"building"
65,717255,5402001,"building"
66,717255,5402001,"building"
67,717255,5402001,"building"
68,717255,5402001,"building"
69,717255,5402001,"building"
70,717255,5402001,"building"
71,717255,5402001,"building"
72,717255,5402001,"building"
73,717255,5402001,"building"
74,717255,5402001,"building"
75,717255,5402001,"building"
76,717255,5402001,"building"
77,717255,5402001,"building"
78,717255,5402001,"building"
79,717255,5402001,"building"
80,717255,5402001,"building"
81,717455,5402001,"building"
82,717455,5402001,"building"
83,717455,5402001,"building"
84,717455,5402001,"building"
85,716655,5402201,"building"
86,716655,5402201,"building"
87,716655,5402201,"building"
88,716655,5402201,"building"
89,716655,5402201,"building"
90,716655,5402201,"building"
91,716655,5402201,"building"
92,716655,5402201,"building"
93,716655,5402201,"building"
94,716655,5402201,"building"
95,716655,5402201,"building"
96,716855,5402201,"building"
97,716855,5402201,"building"
98,716855,5402201,"building"
99,716855,5402201,"building"
100,716855,5402201,"building"
101,716855,5402201,"building"
102,716855,5402201,"building"
103,716855,5402201,"building"
104,718455,5402201,"building"
105,718455,5402201,"building"
106,718455,5402201,"building"
107,718455,5402201,"building"
108,718455,5402201,"building"
109,718455,5402201,"building"
110,718655,5402201,"building"
111,718655,5402201,"building"
112,718655,5402201,"building"
113,718655,5402201,"building"
114,718655,5402201,"building"
115,716655,5402401,"building"
116,716655,5402401,"building"
117,716655,5402401,"building"
118,716655,5402401,"building"
119,716655,5402401,"building"
120,716655,5402401,"building"
121,716655,5402401,"building"
122,716655,5402401,"building"
123,716655,5402401,"building"
124,716655,5402401,"building"
125,716655,5402401,"building"
126,716655,5402401,"building"
127,716655,5402401,"building"
128,716855,5402401,"building"
129,716855,5402401,"building"
130,716855,5402401,"building"
131,716855,5402401,"building"
132,716855,5402401,"building"
133,716855,5402401,"building"
134,716855,5402401,"building"
135,716855,5402401,"building"
136,716855,5402401,"building"
137,716855,5402401,"building"
138,716855,5402401,"building"
139,716855,5402401,"building"
140,716855,5402401,"building"
141,716855,5402401,"building"
142,716855,5402401,"building"
143,716855,5402401,"building"
144,716855,5402401,"building"
145,717055,5402401,"building"
146,718055,5403001,"building"
147,718055,5403201,"building"
148,718055,5403201,"building"
149,718055,5403201,"building"
150,718055,5403201,"building"
151,718055,5403201,"building"
152,718055,5403201,"building"
153,718055,5403201,"building"
154,718055,5403201,"building"
155,718055,5403201,"building"
156,718055,5403201,"building"
157,718055,5403201,"building"
158,718055,5403201,"building"
159,718055,5403201,"building"
160,718055,5403201,"building"
161,718055,5403201,"building"
162,718255,5403201,"building"
163,718255,5403201,"building"
164,718255,5403201,"building"
165,718255,5403201,"building"
166,718255,5403201,"building"
167,718255,5403201,"building"
168,718255,5403201,"building"
169,718255,5403201,"building"
170,718255,5403201,"building"
171,719655,5403601,"building"
172,719655,5403601,"building"
173,719655,5403601,"building"
174,719655,5403601,"building"
175,719655,5403601,"building"
176,719655,5403601,"building"
177,719655,5403601,"building"
178,719655,5403601,"building"
179,719655,5403601,"building"
180,719655,5403601,"building"
181,716455,5403801,"building"
182,716455,5403801,"building"
183,716455,5403801,"building"
184,716455,5403801,"building"
185,716455,5403801,"building"
186,716455,5403801,"building"
187,716455,5403801,"building"
188,716455,5403801,"building"
189,716455,5403801,"building"
190,716455,5403801,"building"
191,716455,5403801,"building"
192,716455,5403801,"building"
193,716455,5403801,"building"
194,716455,5403801,"building"
195,716455,5403801,"building"
196,716455,5403801,"building"
197,716455,5403801,"building"
198,716455,5403801,"building"
199,716655,5403801,"building"
200,717655,5403801,"building"
201,718455,5403801,"building"
202,718455,5403801,"building"
203,718455,5403801,"building"
204,718455,5403801,"building"
205,718455,5403801,"building"
206,718455,5403801,"building"
207,718455,5403801,"building"
208,718455,5403801,"building"
209,718455,5403801,"building"
210,718455,5403801,"building"
211,718455,5403801,"building"
212,718455,5403801,"building"
213,718455,5403801,"building"
214,718455,5403801,"building"
215,718455,5403801,"building"
216,718455,5403801,"building"
217,718455,5403801,"building"
218,718455,5403801,"building"
219,718455,5403801,"building"
220,718455,5403801,"building"
