accessStopId;accessLinkId;egressStopId;egressLinkId;queryCount
0;-279754756;258;-25403458#0;2
1;-34717986;258;-25403458#0;5
10;-112191692#1;258;-25403458#0;11
100;-77518487;258;-25403458#0;40
101;-126187279;258;-25403458#0;19
102;-126187279;258;-25403458#0;18
103;-35993519#0;258;-25403458#0;7
104;-27091042#3;258;-25403458#0;18
105;-35049451;258;-25403458#0;15
106;-141762866;258;-25403458#0;6
107;-141762873#3;258;-25403458#0;5
108;-294937227#0;258;-25403458#0;8
109;-295989069#1;258;-25403458#0;13
11;-73884407;258;-25403458#0;14
110;-38962098#1;258;-25403458#0;6
111;-40868384#3;258;-25403458#0;14
112;-40868349#2;258;-25403458#0;2
113;-821865996;258;-25403458#0;4
114;-38961889#1;258;-25403458#0;9
115;-27092174#0;258;-25403458#0;11
116;-28923122#0;258;-25403458#0;35
117;-28923131#3;258;-25403458#0;18
118;-28333782#2;258;-25403458#0;6
119;-262387803#0;258;-25403458#0;6
12;-77052806#1;258;-25403458#0;9
120;-33779606#4;258;-25403458#0;2
121;-141764405;258;-25403458#0;6
122;-27226158#0;258;-25403458#0;4
123;-27253735#0;258;-25403458#0;11
124;-974548443;258;-25403458#0;3
125;-126097591;258;-25403458#0;10
126;-125690144;258;-25403458#0;6
127;-127184740#0;258;-25403458#0;3
128;-335890968#1;258;-25403458#0;4
129;-27215278#1;258;-25403458#0;13
13;-77049042;258;-25403458#0;13
130;-484393119#0;258;-25403458#0;5
131;-52877097#0;258;-25403458#0;6
132;-430304266;258;-25403458#0;11
133;-297723383;258;-25403458#0;15
134;-435984987;258;-25403458#0;4
135;-219405118;258;-25403458#0;5
136;-490661931;258;-25403458#0;6
137;-27291462#1;258;-25403458#0;18
138;-26735765#1;258;-25403458#0;12
139;-490681708;258;-25403458#0;26
14;-271100635#2;258;-25403458#0;13
140;-29467269#1;258;-25403458#0;12
141;-77503003#0;258;-25403458#0;6
142;-29467776;258;-25403458#0;14
143;-266098846;258;-25403458#0;12
144;-27181819#1;258;-25403458#0;15
145;-315471075#0;258;-25403458#0;7
146;-36919397#0;258;-25403458#0;9
147;-485575722;258;-25403458#0;3
148;-15888630;258;-25403458#0;17
149;-33962072#0;258;-25403458#0;3
15;-271100646;258;-25403458#0;5
150;-36147025#8;258;-25403458#0;6
151;-36919383;258;-25403458#0;15
152;-36919378#1;258;-25403458#0;15
153;-27182544#0;258;-25403458#0;6
154;-36147018#1;258;-25403458#0;12
155;-36006771;258;-25403458#0;3
156;-978932086;258;-25403458#0;7
157;-36919954;258;-25403458#0;6
158;-36919953#1;258;-25403458#0;9
159;-34871665#0;258;-25403458#0;10
16;-270562586;258;-25403458#0;3
160;-36919696#0;258;-25403458#0;7
161;-27150091#4;258;-25403458#0;10
162;-27018550#2;258;-25403458#0;6
163;-27004802#2;258;-25403458#0;18
164;-422953029;258;-25403458#0;6
165;-200349358#2;258;-25403458#0;4
166;-27023250#1;258;-25403458#0;3
167;-37614935#0;258;-25403458#0;5
168;-37613387#1;258;-25403458#0;4
169;-27150088#2;258;-25403458#0;3
17;-33705844#2;258;-25403458#0;4
170;-27214368#2;258;-25403458#0;10
171;-37614666#2;258;-25403458#0;10
172;-27214313#2;258;-25403458#0;8
173;-37613338;258;-25403458#0;12
174;-277344628#0;258;-25403458#0;18
175;-41572341#1;258;-25403458#0;3
176;-55997400#3;258;-25403458#0;1
177;-55997374#5;258;-25403458#0;1
178;-229451124;258;-25403458#0;2
179;-28182683#0;258;-25403458#0;1
18;-33705844#2;258;-25403458#0;4
180;-27227523#1;258;-25403458#0;5
181;-548689753;258;-25403458#0;1
182;-367421977#0;258;-25403458#0;3
183;-44648471#7;258;-25403458#0;4
184;-55997400#9;258;-25403458#0;2
185;-27272027#0;258;-25403458#0;1
186;-294359762;258;-25403458#0;5
187;-367421978#4;258;-25403458#0;1
188;-486762656;258;-25403458#0;5
189;-172452927;258;-25403458#0;16
19;-150142368;258;-25403458#0;9
190;-217485258;258;-25403458#0;16
191;-509338815;258;-25403458#0;4
192;-89355308;258;-25403458#0;4
193;-367421959#0;258;-25403458#0;8
194;-271242383;258;-25403458#0;7
195;-89355303;258;-25403458#0;9
196;-271242335#1;258;-25403458#0;3
197;-39701815#1;258;-25403458#0;3
198;-26198874#0;258;-25403458#0;11
199;-89355289#0;258;-25403458#0;9
2;-33705872#0;258;-25403458#0;2
20;-263489831;258;-25403458#0;2
200;-497747427#0;258;-25403458#0;4
201;-497251023#0;258;-25403458#0;8
202;-490362155#2;258;-25403458#0;11
203;-89495781;258;-25403458#0;6
204;-497251023#0;258;-25403458#0;5
205;-552874669;258;-25403458#0;2
206;-497251023#0;258;-25403458#0;2
207;-26198873#0;258;-25403458#0;6
208;-491886960#2;258;-25403458#0;3
209;-29020933;258;-25403458#0;6
21;-34027705;258;-25403458#0;1
210;-430849855;258;-25403458#0;2
211;-497747431;258;-25403458#0;8
212;-497486409;258;-25403458#0;13
213;-497486409;258;-25403458#0;11
214;-48782600#1;258;-25403458#0;8
215;-48782600#1;258;-25403458#0;3
216;-27227551;258;-25403458#0;9
217;-27213474#3;258;-25403458#0;5
218;-88908001;258;-25403458#0;9
219;-27227347;258;-25403458#0;5
22;-33705887;258;-25403458#0;1
220;-490376591#3;258;-25403458#0;7
221;-367421943;258;-25403458#0;6
222;-367421944;258;-25403458#0;13
223;322183374;258;-25403458#0;16
224;-126901011;258;-25403458#0;14
225;-60412480;258;-25403458#0;10
226;-490376590;258;-25403458#0;4
227;-491889185;258;-25403458#0;5
228;-60412451;258;-25403458#0;7
229;322183363;258;-25403458#0;10
23;-33705817;258;-25403458#0;6
230;-36905408#0;258;-25403458#0;4
231;-490377437#0;258;-25403458#0;1
232;-88922407;258;-25403458#0;13
233;-36905626#4;258;-25403458#0;7
234;-27214564#0;258;-25403458#0;3
235;-88922424#0;258;-25403458#0;12
236;-55991324#1;258;-25403458#0;10
237;-88922391;258;-25403458#0;3
238;-64032196#1;258;-25403458#0;5
239;-27213432#3;258;-25403458#0;4
24;-286465491;258;-25403458#0;11
240;-330196953#5;258;-25403458#0;10
241;-59593669;258;-25403458#0;6
242;-170885034#2;258;-25403458#0;7
243;-170871431#1;258;-25403458#0;13
244;-60412748#1;258;-25403458#0;12
245;-60412748#0;258;-25403458#0;7
246;-191799653;258;-25403458#0;11
247;-497751092;258;-25403458#0;7
248;-28182655#4;258;-25403458#0;4
25;-522209372;258;-25403458#0;22
252;-24509693#3;258;-25403458#0;7
253;-24509700#2;258;-25403458#0;7
254;-74531033#2;258;-25403458#0;11
255;-373181456;258;-25403458#0;2
256;-440328189#1;258;-25403458#0;9
257;-33794726#0;258;-25403458#0;11
258;-25403458#0;258;-25403458#0;18
259;-256417610#1;258;-25403458#0;6
26;-81512531;258;-25403458#0;19
260;-25403437#0;258;-25403458#0;4
261;-787515007#2;258;-25403458#0;6
262;-24907912;258;-25403458#0;9
263;-24907909#1;258;-25403458#0;7
264;-24907868#0;258;-25403458#0;4
265;-24907871;258;-25403458#0;7
266;-24907909#1;258;-25403458#0;6
267;-640060931#1;258;-25403458#0;5
268;-324982041;258;-25403458#0;9
269;-33794714;258;-25403458#0;6
27;-81512523#2;258;-25403458#0;15
270;-30976501#0;258;-25403458#0;4
271;-427556585;258;-25403458#0;4
272;-172450793#2;258;-25403458#0;4
273;-89749401;258;-25403458#0;4
274;-172450814#1;258;-25403458#0;4
275;-172450814#1;258;-25403458#0;3
276;-89749390;258;-25403458#0;1
277;-89749390;258;-25403458#0;5
278;-62310751#1;258;-25403458#0;4
279;-987183629;258;-25403458#0;2
28;-81512526;258;-25403458#0;11
281;-26994530#2;258;-25403458#0;5
282;-89469727#1;258;-25403458#0;4
283;-172450858;258;-25403458#0;6
284;-190134941#0;258;-25403458#0;3
285;-89469719;258;-25403458#0;4
286;-172450813;258;-25403458#0;6
287;-494493319;258;-25403458#0;3
288;-490316434;258;-25403458#0;3
289;-367421962;258;-25403458#0;3
29;-37845875;258;-25403458#0;20
290;-271242339;258;-25403458#0;4
291;-40316224;258;-25403458#0;3
292;-40346421#1;258;-25403458#0;1
293;-367421963#0;258;-25403458#0;2
294;-51925975#1;258;-25403458#0;2
295;-214284461#1;258;-25403458#0;4
296;-172436231;258;-25403458#0;3
297;-486791765#1;258;-25403458#0;3
298;-25335430#2;258;-25403458#0;5
299;-172450818;258;-25403458#0;3
3;-132132631;258;-25403458#0;6
30;-30645565#0;258;-25403458#0;7
300;-88507457;258;-25403458#0;3
301;-25335430#1;258;-25403458#0;6
302;-28292472#0;258;-25403458#0;12
303;-25335430#1;258;-25403458#0;3
304;-172436253;258;-25403458#0;6
305;-172436247#1;258;-25403458#0;9
306;-25403873#4;258;-25403458#0;6
307;-24907895#1;258;-25403458#0;4
308;-25335601#0;258;-25403458#0;1
309;-490368902;258;-25403458#0;2
31;-270566846;258;-25403458#0;7
311;-367427366;258;-25403458#0;8
312;-89650896;258;-25403458#0;14
316;-98945553#0;258;-25403458#0;34
317;-377797402#4;258;-25403458#0;8
318;-37804080#0;258;-25403458#0;9
319;-38282347;258;-25403458#0;9
32;-495020457#0;258;-25403458#0;2
320;-101084855;258;-25403458#0;12
321;-95249491;258;-25403458#0;5
322;-48766051#4;258;-25403458#0;5
323;-54466248#4;258;-25403458#0;6
324;-34091182#0;258;-25403458#0;4
325;-488654970;258;-25403458#0;15
326;-56042690;258;-25403458#0;5
327;-488667444#4;258;-25403458#0;5
328;-488667444#1;258;-25403458#0;2
329;-484337483;258;-25403458#0;1
33;-29921787;258;-25403458#0;8
330;-78352183#0;258;-25403458#0;18
331;-96885067;258;-25403458#0;7
332;-98772323#2;258;-25403458#0;6
333;-98772323#0;258;-25403458#0;3
334;-98772343;258;-25403458#0;6
335;-96647643;258;-25403458#0;2
336;-72497268#0;258;-25403458#0;2
337;-95279719;258;-25403458#0;3
338;-89650897#2;258;-25403458#0;3
339;-492791930#0;258;-25403458#0;9
34;-28990861#0;258;-25403458#0;12
340;-34997595#0;258;-25403458#0;12
341;-99790459;258;-25403458#0;6
342;-50865808#0;258;-25403458#0;7
343;-24785848;258;-25403458#0;4
344;-37111806#0;258;-25403458#0;6
345;-34997755;258;-25403458#0;5
346;-34997755;258;-25403458#0;10
347;-25403854#2;258;-25403458#0;2
348;-551123157;258;-25403458#0;8
349;-25403873#2;258;-25403458#0;6
35;-29012786#0;258;-25403458#0;16
350;-25403873#4;258;-25403458#0;5
351;-77516650#3;258;-25403458#0;10
352;-34997909#2;258;-25403458#0;7
353;-34998016#3;258;-25403458#0;9
354;-889377937#1;258;-25403458#0;6
355;-34997904;258;-25403458#0;3
356;-484337491#0;258;-25403458#0;5
357;-90066146#1;258;-25403458#0;4
358;-484337494;258;-25403458#0;4
