accessStopId;accessLinkId;egressStopId;egressLinkId;queryCount
0;-279754756;10;-112191692#1;2
0;-279754756;125;-126097591;4
0;-279754756;126;-125690144;2
0;-279754756;127;-127184740#0;4
0;-279754756;129;-27215278#1;4
0;-279754756;130;-484393119#0;4
0;-279754756;131;-52877097#0;6
0;-279754756;132;-430304266;2
0;-279754756;143;-266098846;2
0;-279754756;173;-37613338;2
0;-279754756;179;-28182683#0;2
0;-279754756;180;-27227523#1;4
0;-279754756;181;-548689753;4
0;-279754756;182;-367421977#0;2
0;-279754756;199;-89355289#0;2
0;-279754756;213;-497486409;2
0;-279754756;222;-367421944;4
0;-279754756;255;-373181456;2
0;-279754756;300;-88507457;4
0;-279754756;312;-89650896;4
0;-279754756;348;-551123157;2
0;-279754756;391;-180211473#0;2
0;-279754756;40;-28997388;6
0;-279754756;472;-59872773#1;2
0;-279754756;49;-355270871;4
0;-279754756;497;-51226915#0;2
0;-279754756;498;-974889671;2
0;-279754756;50;-297516973#1;2
0;-279754756;51;-509498379;2
0;-279754756;511;164833512#1;8
0;-279754756;517;-974889677#1;2
0;-279754756;519;-115843067#0;2
0;-279754756;52;-498029090;12
0;-279754756;529;-482530156;4
0;-279754756;549;-93799283;2
0;-279754756;556;-490673217;2
0;-279754756;559;-55356621;8
0;-279754756;58;-45026548;4
0;-279754756;59;-45026548;6
0;-279754756;678;-107602690#0;2
0;-279754756;692;-39207242#1;4
0;-279754756;694;-32702545;2
0;-279754756;709;-395860460#0;2
0;-279754756;73;-494998160;2
0;-279754756;80;-337954601#0;2
0;-279754756;800;-93772083#2;4
0;-279754756;817;-31963736;2
0;-279754756;82;-145393541;6
0;-279754756;839;-415306248;2
0;-279754756;840;-68543362;6
0;-279754756;865;-295732688;10
0;-279754756;92;-27091597#6;2
0;-279754756;922;-288903447#1;4
0;-279754756;924;-288903454;4
0;-279754756;931;365298401#0;2
0;-279754756;933;-155045708;2
0;-279754756;962;-144162287#2;2
1;-34717986;10;-112191692#1;5
1;-34717986;125;-126097591;10
1;-34717986;126;-125690144;5
1;-34717986;127;-127184740#0;10
1;-34717986;129;-27215278#1;10
1;-34717986;130;-484393119#0;10
1;-34717986;131;-52877097#0;15
1;-34717986;132;-430304266;5
1;-34717986;143;-266098846;5
1;-34717986;173;-37613338;5
1;-34717986;179;-28182683#0;5
1;-34717986;180;-27227523#1;10
1;-34717986;181;-548689753;10
1;-34717986;182;-367421977#0;5
1;-34717986;199;-89355289#0;5
1;-34717986;213;-497486409;5
1;-34717986;222;-367421944;10
1;-34717986;255;-373181456;5
1;-34717986;300;-88507457;10
1;-34717986;312;-89650896;10
1;-34717986;348;-551123157;5
1;-34717986;391;-180211473#0;5
1;-34717986;40;-28997388;15
1;-34717986;472;-59872773#1;5
1;-34717986;49;-355270871;10
1;-34717986;497;-51226915#0;5
1;-34717986;498;-974889671;5
1;-34717986;50;-297516973#1;5
1;-34717986;51;-509498379;5
1;-34717986;511;164833512#1;20
1;-34717986;517;-974889677#1;5
1;-34717986;519;-115843067#0;5
1;-34717986;52;-498029090;30
1;-34717986;529;-482530156;10
1;-34717986;549;-93799283;5
1;-34717986;556;-490673217;5
1;-34717986;559;-55356621;20
1;-34717986;58;-45026548;10
1;-34717986;59;-45026548;15
1;-34717986;678;-107602690#0;5
1;-34717986;692;-39207242#1;10
1;-34717986;694;-32702545;5
1;-34717986;709;-395860460#0;5
1;-34717986;73;-494998160;5
1;-34717986;80;-337954601#0;5
1;-34717986;800;-93772083#2;10
1;-34717986;817;-31963736;5
1;-34717986;82;-145393541;15
1;-34717986;839;-415306248;5
1;-34717986;840;-68543362;15
1;-34717986;865;-295732688;25
1;-34717986;92;-27091597#6;5
1;-34717986;922;-288903447#1;10
1;-34717986;924;-288903454;10
1;-34717986;931;365298401#0;5
1;-34717986;933;-155045708;5
1;-34717986;962;-144162287#2;5
10;-112191692#1;10;-112191692#1;11
10;-112191692#1;125;-126097591;22
10;-112191692#1;126;-125690144;11
10;-112191692#1;127;-127184740#0;22
10;-112191692#1;129;-27215278#1;22
10;-112191692#1;130;-484393119#0;22
10;-112191692#1;131;-52877097#0;33
10;-112191692#1;132;-430304266;11
10;-112191692#1;143;-266098846;11
10;-112191692#1;173;-37613338;11
10;-112191692#1;179;-28182683#0;11
10;-112191692#1;180;-27227523#1;22
10;-112191692#1;181;-548689753;22
10;-112191692#1;182;-367421977#0;11
10;-112191692#1;199;-89355289#0;11
10;-112191692#1;213;-497486409;11
10;-112191692#1;222;-367421944;22
10;-112191692#1;255;-373181456;11
10;-112191692#1;300;-88507457;22
10;-112191692#1;312;-89650896;22
10;-112191692#1;348;-551123157;11
10;-112191692#1;391;-180211473#0;11
10;-112191692#1;40;-28997388;33
10;-112191692#1;472;-59872773#1;11
10;-112191692#1;49;-355270871;22
10;-112191692#1;497;-51226915#0;11
10;-112191692#1;498;-974889671;11
10;-112191692#1;50;-297516973#1;11
10;-112191692#1;51;-509498379;11
10;-112191692#1;511;164833512#1;44
10;-112191692#1;517;-974889677#1;11
10;-112191692#1;519;-115843067#0;11
10;-112191692#1;52;-498029090;66
10;-112191692#1;529;-482530156;22
10;-112191692#1;549;-93799283;11
10;-112191692#1;556;-490673217;11
10;-112191692#1;559;-55356621;44
10;-112191692#1;58;-45026548;22
10;-112191692#1;59;-45026548;33
10;-112191692#1;678;-107602690#0;11
10;-112191692#1;692;-39207242#1;22
10;-112191692#1;694;-32702545;11
10;-112191692#1;709;-395860460#0;11
10;-112191692#1;73;-494998160;11
10;-112191692#1;80;-337954601#0;11
10;-112191692#1;800;-93772083#2;22
10;-112191692#1;817;-31963736;11
10;-112191692#1;82;-145393541;33
10;-112191692#1;839;-415306248;11
10;-112191692#1;840;-68543362;33
10;-112191692#1;865;-295732688;55
10;-112191692#1;92;-27091597#6;11
10;-112191692#1;922;-288903447#1;22
10;-112191692#1;924;-288903454;22
10;-112191692#1;931;365298401#0;11
10;-112191692#1;933;-155045708;11
10;-112191692#1;962;-144162287#2;11
100;-77518487;10;-112191692#1;40
100;-77518487;125;-126097591;80
100;-77518487;126;-125690144;40
100;-77518487;127;-127184740#0;80
100;-77518487;129;-27215278#1;80
100;-77518487;130;-484393119#0;80
100;-77518487;131;-52877097#0;120
100;-77518487;132;-430304266;40
100;-77518487;143;-266098846;40
100;-77518487;173;-37613338;40
100;-77518487;179;-28182683#0;40
100;-77518487;180;-27227523#1;80
100;-77518487;181;-548689753;80
100;-77518487;182;-367421977#0;40
100;-77518487;199;-89355289#0;40
100;-77518487;213;-497486409;40
100;-77518487;222;-367421944;80
100;-77518487;255;-373181456;40
100;-77518487;300;-88507457;80
100;-77518487;312;-89650896;80
100;-77518487;348;-551123157;40
100;-77518487;391;-180211473#0;40
100;-77518487;40;-28997388;120
100;-77518487;472;-59872773#1;40
100;-77518487;49;-355270871;80
100;-77518487;497;-51226915#0;40
100;-77518487;498;-974889671;40
100;-77518487;50;-297516973#1;40
100;-77518487;51;-509498379;40
100;-77518487;511;164833512#1;160
100;-77518487;517;-974889677#1;40
100;-77518487;519;-115843067#0;40
100;-77518487;52;-498029090;240
100;-77518487;529;-482530156;80
100;-77518487;549;-93799283;40
100;-77518487;556;-490673217;40
100;-77518487;559;-55356621;160
100;-77518487;58;-45026548;80
100;-77518487;59;-45026548;120
100;-77518487;678;-107602690#0;40
100;-77518487;692;-39207242#1;80
100;-77518487;694;-32702545;40
100;-77518487;709;-395860460#0;40
100;-77518487;73;-494998160;40
100;-77518487;80;-337954601#0;40
100;-77518487;800;-93772083#2;80
100;-77518487;817;-31963736;40
100;-77518487;82;-145393541;120
100;-77518487;839;-415306248;40
100;-77518487;840;-68543362;120
100;-77518487;865;-295732688;200
100;-77518487;92;-27091597#6;40
100;-77518487;922;-288903447#1;80
100;-77518487;924;-288903454;80
100;-77518487;931;365298401#0;40
100;-77518487;933;-155045708;40
100;-77518487;962;-144162287#2;40
101;-126187279;10;-112191692#1;19
101;-126187279;125;-126097591;38
101;-126187279;126;-125690144;19
101;-126187279;127;-127184740#0;38
101;-126187279;129;-27215278#1;38
101;-126187279;130;-484393119#0;38
101;-126187279;131;-52877097#0;57
101;-126187279;132;-430304266;19
101;-126187279;143;-266098846;19
101;-126187279;173;-37613338;19
101;-126187279;179;-28182683#0;19
101;-126187279;180;-27227523#1;38
101;-126187279;181;-548689753;38
101;-126187279;182;-367421977#0;19
101;-126187279;199;-89355289#0;19
101;-126187279;213;-497486409;19
101;-126187279;222;-367421944;38
101;-126187279;255;-373181456;19
101;-126187279;300;-88507457;38
101;-126187279;312;-89650896;38
101;-126187279;348;-551123157;19
101;-126187279;391;-180211473#0;19
101;-126187279;40;-28997388;57
101;-126187279;472;-59872773#1;19
101;-126187279;49;-355270871;38
101;-126187279;497;-51226915#0;19
101;-126187279;498;-974889671;19
101;-126187279;50;-297516973#1;19
101;-126187279;51;-509498379;19
101;-126187279;511;164833512#1;76
101;-126187279;517;-974889677#1;19
101;-126187279;519;-115843067#0;19
101;-126187279;52;-498029090;114
101;-126187279;529;-482530156;38
101;-126187279;549;-93799283;19
101;-126187279;556;-490673217;19
