accessStopId;accessLinkId;egressStopId;egressLinkId;queryCount
0;-279754756;126;-125690144;2
1;-34717986;126;-125690144;5
10;-112191692#1;126;-125690144;11
100;-77518487;126;-125690144;40
101;-126187279;126;-125690144;19
102;-126187279;126;-125690144;18
103;-35993519#0;126;-125690144;7
104;-27091042#3;126;-125690144;18
105;-35049451;126;-125690144;15
106;-141762866;126;-125690144;6
107;-141762873#3;126;-125690144;5
108;-294937227#0;126;-125690144;8
109;-295989069#1;126;-125690144;13
11;-73884407;126;-125690144;14
110;-38962098#1;126;-125690144;6
111;-40868384#3;126;-125690144;14
112;-40868349#2;126;-125690144;2
113;-821865996;126;-125690144;4
114;-38961889#1;126;-125690144;9
115;-27092174#0;126;-125690144;11
116;-28923122#0;126;-125690144;35
117;-28923131#3;126;-125690144;18
118;-28333782#2;126;-125690144;6
119;-262387803#0;126;-125690144;6
12;-77052806#1;126;-125690144;9
120;-33779606#4;126;-125690144;2
121;-141764405;126;-125690144;6
122;-27226158#0;126;-125690144;4
123;-27253735#0;126;-125690144;11
124;-974548443;126;-125690144;3
125;-126097591;126;-125690144;10
126;-125690144;126;-125690144;6
127;-127184740#0;126;-125690144;3
128;-335890968#1;126;-125690144;4
129;-27215278#1;126;-125690144;13
13;-77049042;126;-125690144;13
130;-484393119#0;126;-125690144;5
131;-52877097#0;126;-125690144;6
132;-430304266;126;-125690144;11
133;-297723383;126;-125690144;15
134;-435984987;126;-125690144;4
135;-219405118;126;-125690144;5
136;-490661931;126;-125690144;6
137;-27291462#1;126;-125690144;18
138;-26735765#1;126;-125690144;12
139;-490681708;126;-125690144;26
14;-271100635#2;126;-125690144;13
140;-29467269#1;126;-125690144;12
141;-77503003#0;126;-125690144;6
142;-29467776;126;-125690144;14
143;-266098846;126;-125690144;12
144;-27181819#1;126;-125690144;15
145;-315471075#0;126;-125690144;7
146;-36919397#0;126;-125690144;9
147;-485575722;126;-125690144;3
148;-15888630;126;-125690144;17
149;-33962072#0;126;-125690144;3
15;-271100646;126;-125690144;5
150;-36147025#8;126;-125690144;6
151;-36919383;126;-125690144;15
152;-36919378#1;126;-125690144;15
153;-27182544#0;126;-125690144;6
154;-36147018#1;126;-125690144;12
155;-36006771;126;-125690144;3
156;-978932086;126;-125690144;7
157;-36919954;126;-125690144;6
158;-36919953#1;126;-125690144;9
159;-34871665#0;126;-125690144;10
16;-270562586;126;-125690144;3
160;-36919696#0;126;-125690144;7
161;-27150091#4;126;-125690144;10
162;-27018550#2;126;-125690144;6
163;-27004802#2;126;-125690144;18
164;-422953029;126;-125690144;6
165;-200349358#2;126;-125690144;4
166;-27023250#1;126;-125690144;3
167;-37614935#0;126;-125690144;5
168;-37613387#1;126;-125690144;4
169;-27150088#2;126;-125690144;3
17;-33705844#2;126;-125690144;4
170;-27214368#2;126;-125690144;10
171;-37614666#2;126;-125690144;10
172;-27214313#2;126;-125690144;8
173;-37613338;126;-125690144;12
174;-277344628#0;126;-125690144;18
175;-41572341#1;126;-125690144;3
176;-55997400#3;126;-125690144;1
177;-55997374#5;126;-125690144;1
178;-229451124;126;-125690144;2
179;-28182683#0;126;-125690144;1
18;-33705844#2;126;-125690144;4
180;-27227523#1;126;-125690144;5
181;-548689753;126;-125690144;1
182;-367421977#0;126;-125690144;3
183;-44648471#7;126;-125690144;4
184;-55997400#9;126;-125690144;2
185;-27272027#0;126;-125690144;1
186;-294359762;126;-125690144;5
187;-367421978#4;126;-125690144;1
188;-486762656;126;-125690144;5
189;-172452927;126;-125690144;16
19;-150142368;126;-125690144;9
190;-217485258;126;-125690144;16
191;-509338815;126;-125690144;4
192;-89355308;126;-125690144;4
193;-367421959#0;126;-125690144;8
194;-271242383;126;-125690144;7
195;-89355303;126;-125690144;9
196;-271242335#1;126;-125690144;3
197;-39701815#1;126;-125690144;3
198;-26198874#0;126;-125690144;11
199;-89355289#0;126;-125690144;9
2;-33705872#0;126;-125690144;2
20;-263489831;126;-125690144;2
200;-497747427#0;126;-125690144;4
201;-497251023#0;126;-125690144;8
202;-490362155#2;126;-125690144;11
203;-89495781;126;-125690144;6
204;-497251023#0;126;-125690144;5
205;-552874669;126;-125690144;2
206;-497251023#0;126;-125690144;2
207;-26198873#0;126;-125690144;6
208;-491886960#2;126;-125690144;3
209;-29020933;126;-125690144;6
21;-34027705;126;-125690144;1
210;-430849855;126;-125690144;2
211;-497747431;126;-125690144;8
212;-497486409;126;-125690144;13
213;-497486409;126;-125690144;11
214;-48782600#1;126;-125690144;8
215;-48782600#1;126;-125690144;3
216;-27227551;126;-125690144;9
217;-27213474#3;126;-125690144;5
218;-88908001;126;-125690144;9
219;-27227347;126;-125690144;5
22;-33705887;126;-125690144;1
220;-490376591#3;126;-125690144;7
221;-367421943;126;-125690144;6
222;-367421944;126;-125690144;13
223;322183374;126;-125690144;16
224;-126901011;126;-125690144;14
225;-60412480;126;-125690144;10
226;-490376590;126;-125690144;4
227;-491889185;126;-125690144;5
228;-60412451;126;-125690144;7
229;322183363;126;-125690144;10
23;-33705817;126;-125690144;6
