linkId;population;weight
-279754756;34;8.008479566599929E-4
-34717986;19;4.4753268166293725E-4
-112191692#1;258;0.006077022729949358
-77518487;9;2.119891649982334E-4
-126187279;3;7.066305499941114E-5
-35993519#0;37;8.715110116594041E-4
-27091042#3;96;0.0022612177599811564
-35049451;45;0.001059945824991167
-141762866;56;0.0013190436933223414
-141762873#3;26;6.124131433282298E-4
-294937227#0;0;0.0
-295989069#1;1;2.355435166647038E-5
-73884407;66;0.0015545872099870452
-38962098#1;0;0.0
-40868384#3;15;3.533152749970557E-4
-40868349#2;18;4.239783299964668E-4
-821865996;4;9.421740666588152E-5
-38961889#1;4;9.421740666588152E-5
-27092174#0;23;5.417500883288188E-4
-28923122#0;43;0.0010128371216582264
-28923131#3;194;0.004569544223295254
-28333782#2;129;0.003038511364974679
-262387803#0;7;1.6488046166529267E-4
-77052806#1;14;3.2976092333058534E-4
-33779606#4;163;0.003839359321634672
-141764405;187;0.004404663761629961
-27226158#0;247;0.005817924861618184
-27253735#0;298;0.007019196796608174
-974548443;517;0.012177599811565187
-126097591;551;0.01297844776822518
-125690144;319;0.007513838181604051
-127184740#0;188;0.0044282181132964315
-335890968#1;141;0.0033211635849723234
-27215278#1;1385;0.03262277705806148
-77049042;85;0.0020021198916499823
-484393119#0;666;0.015687198209869274
-52877097#0;557;0.013119773878224002
-430304266;854;0.020115416323165707
-297723383;16;3.768696266635261E-4
-435984987;75;0.0017665763749852785
-219405118;39;9.186197149923448E-4
-490661931;35;8.244023083264633E-4
-27291462#1;38;8.950653633258745E-4
-26735765#1;0;0.0
-490681708;31;7.301849016605817E-4
-271100635#2;56;0.0013190436933223414
-29467269#1;120;0.0028265221999764457
-77503003#0;91;0.0021434460016488046
-29467776;69;0.0016252502649864563
-266098846;69;0.0016252502649864563
-27181819#1;9;2.119891649982334E-4
-315471075#0;46;0.0010835001766576376
-36919397#0;5;1.177717583323519E-4
-485575722;15;3.533152749970557E-4
-15888630;6;1.4132610999882227E-4
-33962072#0;70;0.0016488046166529267
-271100646;4;9.421740666588152E-5
-36147025#8;35;8.244023083264633E-4
-36919383;1;2.355435166647038E-5
-36919378#1;12;2.8265221999764455E-4
-27182544#0;21;4.94641384995878E-4
-36147018#1;39;9.186197149923448E-4
-36006771;45;0.001059945824991167
-978932086;27;6.359674949947003E-4
-36919954;9;2.119891649982334E-4
-36919953#1;25;5.888587916617595E-4
-34871665#0;6;1.4132610999882227E-4
-270562586;19;4.4753268166293725E-4
-36919696#0;16;3.768696266635261E-4
-27150091#4;4;9.421740666588152E-5
-27018550#2;35;8.244023083264633E-4
-27004802#2;18;4.239783299964668E-4
-422953029;18;4.239783299964668E-4
-200349358#2;2;4.710870333294076E-5
-27023250#1;2;4.710870333294076E-5
-37614935#0;13;3.062065716641149E-4
-37613387#1;108;0.002543869979978801
-27150088#2;51;0.0012012719349899894
-33705844#2;96;0.0022612177599811564
-27214368#2;54;0.0012719349899894005
-37614666#2;32;7.537392533270522E-4
-27214313#2;52;0.0012248262866564597
-37613338;477;0.011235425744906371
-277344628#0;12;2.8265221999764455E-4
-41572341#1;141;0.0033211635849723234
-55997400#3;81;0.0019079024849841008
-55997374#5;106;0.0024967612766458604
-229451124;20;4.710870333294076E-4
-28182683#0;33;7.772936049935226E-4
-27227523#1;126;0.002967848309975268
-548689753;87;0.002049228594982923
-367421977#0;118;0.002779413496643505
-44648471#7;111;0.002614533034978212
-55997400#9;143;0.0033682722883052645
-27272027#0;37;8.715110116594041E-4
-294359762;0;0.0
-367421978#4;36;8.479566599929336E-4
-486762656;27;6.359674949947003E-4
-172452927;4;9.421740666588152E-5
-150142368;1;2.355435166647038E-5
-217485258;1;2.355435166647038E-5
-509338815;9;2.119891649982334E-4
-89355308;11;2.590978683311742E-4
-367421959#0;100;0.002355435166647038
-271242383;8;1.8843481333176304E-4
-89355303;7;1.6488046166529267E-4
-271242335#1;41;9.657284183252856E-4
-39701815#1;83;0.0019550111883170416
-26198874#0;2;4.710870333294076E-5
-89355289#0;75;0.0017665763749852785
-33705872#0;11;2.590978683311742E-4
-263489831;16;3.768696266635261E-4
-497747427#0;59;0.0013897067483217525
-497251023#0;18;4.239783299964668E-4
-490362155#2;7;1.6488046166529267E-4
-89495781;3;7.066305499941114E-5
-552874669;424;0.009987045106583442
-26198873#0;6;1.4132610999882227E-4
-491886960#2;2;4.710870333294076E-5
-29020933;82;0.001931456836650571
-34027705;49;0.0011541632316570487
-430849855;12;2.8265221999764455E-4
-497747431;112;0.0026380873866446827
-497486409;118;0.002779413496643505
-48782600#1;327;0.007702272994935815
-27227551;52;0.0012248262866564597
-27213474#3;0;0.0
-88908001;0;0.0
-27227347;0;0.0
-33705887;40;9.421740666588152E-4
-490376591#3;12;2.8265221999764455E-4
-367421943;22;5.181957366623484E-4
-367421944;371;0.00873866446826051
322183374;2;4.710870333294076E-5
