"id","x","y","type"
1,714967.281485386,5420712.93057985,"train_station"
2,714543.57253509,5421025.94096163,"doctor"
3,714734.534359453,5420352.34148783,"doctor"
4,711288.946478196,5421134.70953126,"doctor"
5,711302.553931244,5422622.78360285,"doctor"
6,709857.978587948,5424704.88655482,"doctor"
7,710330.281668287,5422405.57684666,"doctor"
8,710367.568795906,5422288.91681884,"doctor"
9,709926.034665088,5421778.12666431,"doctor"
10,711249.775198582,5422741.28142994,"doctor"
11,711254.76617753,5422741.03188099,"doctor"
12,710528.900449989,5422666.73044137,"doctor"
13,714406.849636441,5420483.27299781,"doctor"
14,714366.363206188,5420067.57955894,"doctor"
15,711915.547572406,5422004.40628926,"doctor"
16,710397.085705698,5421733.148831,"doctor"
17,710645.273792608,5422619.57952712,"doctor"
18,714595.082185,5420231.543335,"pharmacy"
19,710359.341027,5422271.043119,"pharmacy"
20,711907.235279,5422004.034078,"pharmacy"
21,710381.451774,5421745.190711,"pharmacy"
22,711245.246452,5422741.445788,"pharmacy"
23,710520.880738,5422666.215481,"pharmacy"
24,709576.059111,5424791.977418,"pharmacy"
25,710325.115685,5422406.363379,"pharmacy"
26,724107.815088,5412267.482500,"pharmacy"
27,718030.731631,5406148.676873,"pharmacy"
28,723884.412467,5411967.004574,"pharmacy"
51,710526.379307126,5422360.94022457,"groceries"
52,715209.508788563,5420635.23329233,"groceries"
53,710407.536149899,5422326.50270257,"groceries"
54,711997.319591053,5421707.36310684,"groceries"
55,711992.158114713,5421721.52490823,"groceries"
56,710437.123288498,5422507.55526707,"groceries"
57,711193.229530542,5422738.65829833,"groceries"
58,712806.935503921,5420816.05576412,"groceries"
59,705743.75415755,5418653.09823229,"groceries"
60,711793.179944042,5422423.8101136,"groceries"
61,710423.057684888,5422152.91060626,"groceries"
62,710421.9269158,5422451.64028808,"groceries"
63,711295.615489462,5422755.36845327,"groceries"
64,711247.302866814,5422770.35183658,"groceries"
65,715846.276876516,5421485.5928731,"groceries"
66,711882.4325366,5422275.26510582,"groceries"
67,711894.299370676,5422270.89748911,"groceries"
68,710462.216716889,5422506.7903912,"groceries"
69,710377.28786802,5422313.22679202,"groceries"
70,710421.1724897926,5422368.267495186,"altstadt"
71,711746.758,5422055.557,"senioren"
72,710135.487,5421891.633,"senioren"
101,713855,5408801,"building"
102,714055,5411801,"building"
103,714255,5410001,"building"
104,714255,5409801,"building"
105,714255,5409601,"building"
106,714255,5408801,"building"
107,714255,5408601,"building"
108,714255,5408401,"building"
109,714455,5411401,"building"
110,714455,5411201,"building"
111,714455,5409201,"building"
112,714655,5411401,"building"
113,714655,5409201,"building"
114,714655,5409001,"building"
115,714655,5408401,"building"
116,714655,5408201,"building"
117,714655,5408001,"building"
118,714655,5406801,"building"
119,714855,5410401,"building"
120,714855,5408601,"building"
121,714855,5408401,"building"
122,714855,5408201,"building"
123,714855,5408001,"building"
124,715055,5410601,"building"
125,715055,5410401,"building"
126,715055,5408801,"building"
127,715055,5408601,"building"
128,715055,5408401,"building"
129,715055,5408001,"building"
130,715255,5411201,"building"
131,715255,5410601,"building"
132,715255,5410401,"building"
133,715255,5408801,"building"
134,715255,5408601,"building"
135,715455,5407601,"building"
136,715455,5407401,"building"
137,715455,5407201,"building"
138,715655,5407601,"building"
139,715655,5407401,"building"
140,715655,5407201,"building"
141,715855,5411801,"building"
142,715855,5411601,"building"
143,715855,5405801,"building"
144,716055,5410601,"building"
145,716055,5410401,"building"
146,716055,5410201,"building"
147,716055,5405601,"building"
148,716255,5410601,"building"
149,716255,5410401,"building"
150,716255,5410201,"building"
151,716255,5405601,"building"
152,716455,5413601,"building"
153,716455,5412201,"building"
154,716455,5410801,"building"
155,716455,5410601,"building"
156,716455,5410401,"building"
157,716455,5410201,"building"
158,716455,5410001,"building"
159,716455,5407601,"building"
160,716455,5404001,"building"
161,716455,5403801,"building"
162,716455,5402001,"building"
163,716655,5413601,"building"
164,716655,5413401,"building"
165,716655,5413201,"building"
166,716655,5410201,"building"
167,716655,5410001,"building"
168,716655,5404001,"building"
169,716655,5403801,"building"
170,716655,5402401,"building"
171,716655,5402201,"building"
172,716655,5402001,"building"
173,716855,5414001,"building"
174,716855,5413801,"building"
175,716855,5413601,"building"
176,716855,5413401,"building"
177,716855,5413201,"building"
178,716855,5408001,"building"
179,716855,5405801,"building"
180,716855,5402401,"building"
181,716855,5402201,"building"
182,716855,5402001,"building"
183,717055,5414001,"building"
184,717055,5413801,"building"
185,717055,5413601,"building"
186,717055,5413401,"building"
187,717055,5413201,"building"
188,717055,5410601,"building"
189,717055,5409401,"building"
190,717055,5408001,"building"
191,717055,5406201,"building"
192,717055,5406001,"building"
193,717055,5405801,"building"
194,717055,5402401,"building"
195,717055,5402001,"building"
196,717055,5401801,"building"
197,717255,5413801,"building"
198,717255,5413601,"building"
199,717255,5413401,"building"
200,717255,5413201,"building"
201,717255,5410801,"building"
202,717255,5409401,"building"
203,717255,5409201,"building"
204,717255,5407801,"building"
205,717255,5407601,"building"
206,717255,5407001,"building"
207,717255,5406401,"building"
208,717255,5406201,"building"
209,717255,5402001,"building"
210,717255,5401801,"building"
211,717455,5415401,"building"
212,717455,5413801,"building"
213,717455,5413601,"building"
214,717455,5410801,"building"
215,717455,5409001,"building"
216,717455,5408001,"building"
217,717455,5407801,"building"
218,717455,5407001,"building"
219,717455,5406401,"building"
220,717455,5406201,"building"
221,717455,5406001,"building"
222,717455,5405801,"building"
223,717455,5405601,"building"
224,717455,5405001,"building"
225,717455,5404801,"building"
226,717455,5402001,"building"
227,717655,5417001,"building"
228,717655,5413801,"building"
229,717655,5413601,"building"
230,717655,5406801,"building"
231,717655,5406601,"building"
232,717655,5406401,"building"
233,717655,5406201,"building"
234,717655,5406001,"building"
235,717655,5405001,"building"
236,717655,5403801,"building"
237,717855,5417001,"building"
238,717855,5416801,"building"
239,717855,5414601,"building"
240,717855,5406801,"building"
241,717855,5406601,"building"
242,717855,5406401,"building"
243,717855,5406201,"building"
244,717855,5406001,"building"
245,717855,5405801,"building"
246,717855,5405601,"building"
247,717855,5405001,"building"
248,718055,5409001,"building"
249,718055,5408201,"building"
250,718055,5406401,"building"
251,718055,5406201,"building"
252,718055,5406001,"building"
253,718055,5405801,"building"
254,718055,5405601,"building"
255,718055,5405401,"building"
256,718055,5405201,"building"
257,718055,5405001,"building"
258,718055,5403201,"building"
259,718055,5403001,"building"
260,718255,5414201,"building"
261,718255,5406601,"building"
262,718255,5406401,"building"
263,718255,5406201,"building"
264,718255,5406001,"building"
265,718255,5405801,"building"
266,718255,5405601,"building"
267,718255,5405401,"building"
268,718255,5405201,"building"
269,718255,5404001,"building"
270,718255,5403201,"building"
271,718455,5416201,"building"
272,718455,5411001,"building"
273,718455,5410801,"building"
274,718455,5410401,"building"
275,718455,5409201,"building"
276,718455,5409001,"building"
277,718455,5406401,"building"
278,718455,5406201,"building"
279,718455,5406001,"building"
280,718455,5405801,"building"
281,718455,5405601,"building"
282,718455,5405401,"building"
283,718455,5405201,"building"
284,718455,5404001,"building"
285,718455,5403801,"building"
286,718455,5402201,"building"
287,718655,5417201,"building"
288,718655,5416601,"building"
289,718655,5415801,"building"
290,718655,5415601,"building"
291,718655,5414601,"building"
292,718655,5414401,"building"
293,718655,5410801,"building"
294,718655,5410601,"building"
295,718655,5410401,"building"
296,718655,5409201,"building"
297,718655,5409001,"building"
298,718655,5406601,"building"
299,718655,5406401,"building"
300,718655,5406201,"building"
301,718655,5406001,"building"
302,718655,5405801,"building"
303,718655,5405601,"building"
304,718655,5405401,"building"
305,718655,5405201,"building"
306,718655,5404601,"building"
307,718655,5404401,"building"
308,718655,5404201,"building"
309,718655,5404001,"building"
310,718655,5403801,"building"
311,718655,5402201,"building"
312,718855,5417201,"building"
313,718855,5415801,"building"
314,718855,5415601,"building"
315,718855,5415001,"building"
316,718855,5414801,"building"
317,718855,5414601,"building"
318,718855,5414401,"building"
319,718855,5409201,"building"
320,718855,5409001,"building"
321,718855,5406201,"building"
322,718855,5405601,"building"
323,718855,5405401,"building"
324,718855,5405201,"building"
325,718855,5404201,"building"
326,718855,5404001,"building"
327,718855,5403801,"building"
328,719055,5417201,"building"
329,719055,5415801,"building"
330,719055,5415601,"building"
331,719055,5415001,"building"
332,719055,5414801,"building"
333,719055,5414601,"building"
334,719055,5414401,"building"
335,719055,5414201,"building"
336,719055,5414001,"building"
337,719055,5409201,"building"
338,719055,5409001,"building"
339,719055,5408001,"building"
340,719055,5407801,"building"
341,719055,5406201,"building"
342,719055,5406001,"building"
343,719055,5404201,"building"
344,719055,5403801,"building"
345,719255,5415001,"building"
346,719255,5414801,"building"
347,719255,5414601,"building"
348,719255,5414401,"building"
349,719255,5414201,"building"
350,719255,5414001,"building"
351,719255,5409601,"building"
352,719255,5409201,"building"
353,719255,5409001,"building"
354,719255,5408801,"building"
355,719255,5408601,"building"
356,719255,5408001,"building"
357,719255,5407801,"building"
358,719255,5407601,"building"
359,719255,5406401,"building"
360,719255,5406201,"building"
361,719255,5406001,"building"
362,719255,5404401,"building"
363,719255,5404201,"building"
364,719455,5415201,"building"
365,719455,5414601,"building"
366,719455,5414401,"building"
367,719455,5414201,"building"
368,719455,5409201,"building"
369,719455,5409001,"building"
370,719455,5408801,"building"
371,719455,5408601,"building"
372,719455,5408001,"building"
373,719455,5406401,"building"
374,719455,5404601,"building"
375,719455,5404401,"building"
376,719655,5416401,"building"
377,719655,5414401,"building"
378,719655,5414201,"building"
379,719655,5407201,"building"
380,719655,5407001,"building"
381,719655,5404601,"building"
382,719655,5404401,"building"
383,719655,5403601,"building"
384,719855,5416401,"building"
385,719855,5416201,"building"
386,719855,5416001,"building"
387,719855,5415801,"building"
388,719855,5409401,"building"
389,719855,5409201,"building"
390,719855,5407201,"building"
391,719855,5407001,"building"
392,720055,5416601,"building"
393,720055,5416401,"building"
394,720055,5416201,"building"
395,720055,5416001,"building"
396,720055,5415801,"building"
397,720055,5408801,"building"
398,720055,5408401,"building"
399,720055,5408201,"building"
400,720255,5416801,"building"
401,720255,5416601,"building"
402,720255,5416401,"building"
403,720255,5416201,"building"
404,720255,5416001,"building"
405,720255,5415801,"building"
406,720255,5412801,"building"
407,720255,5412601,"building"
408,720255,5409601,"building"
409,720255,5406401,"building"
410,720255,5406201,"building"
411,720455,5416801,"building"
412,720455,5416601,"building"
413,720455,5416401,"building"
414,720455,5416201,"building"
415,720455,5416001,"building"
416,720455,5415801,"building"
417,720455,5412801,"building"
418,720455,5408801,"building"
419,720455,5407001,"building"
420,720455,5406201,"building"
421,720455,5405601,"building"
422,720655,5416801,"building"
423,720655,5416601,"building"
424,720655,5416401,"building"
425,720655,5416201,"building"
426,720655,5416001,"building"
427,720655,5415801,"building"
428,720655,5415601,"building"
429,720655,5415401,"building"
430,720655,5413201,"building"
431,720655,5413001,"building"
432,720655,5408601,"building"
433,720655,5407001,"building"
434,720655,5405601,"building"
435,720655,5404401,"building"
436,720855,5416601,"building"
437,720855,5416401,"building"
438,720855,5416201,"building"
439,720855,5416001,"building"
440,720855,5415801,"building"
441,720855,5415601,"building"
442,720855,5415401,"building"
443,720855,5415001,"building"
444,720855,5413201,"building"
445,720855,5413001,"building"
