person,home_x,home_y
1,326152.16035978793,5728731.4639669
10,475990.94520218467,5550879.282143297
100,678373.2647304513,5404023.114761043
1000,694856.4240087195,5419142.891878111
10000,722449.7836533531,5424382.531902141
10001,722979.5370504876,5424856.650166129
10002,722448.2180893035,5423930.700018963
10003,722279.5067382677,5423549.694973691
10004,722764.4786894409,5423907.683618211
10005,723130.1674718289,5424622.047548015
10006,722790.9756243903,5424455.194355305
10007,722906.0335014531,5424569.8671227135
10008,723041.2768100196,5424643.482369434
10009,723291.0157753049,5424538.190393075
1001,694553.3588652894,5419377.142897508
10010,723237.1543665597,5424562.672277409
10011,722909.9009776515,5423774.542691336
10012,722617.7316694914,5424602.599276385
10013,723100.4703771967,5423826.887547576
10014,722706.764555928,5424870.12045112
10015,723109.9083825358,5423874.264894057
10016,723297.3277832911,5424443.101507596
10017,723096.2284134006,5424686.0695927935
10018,722888.6717362759,5423644.547168043
10019,723013.9088653369,5423992.769999916
1002,694291.9604635154,5419333.474843244
10020,722819.9809982474,5424818.887238709
10021,722934.9432251322,5424791.271382374
10022,723099.1549584138,5424567.612416686
10023,723095.3531182747,5423656.765774074
10024,722902.8213578123,5424781.212932722
10025,723209.1270043867,5424593.476085497
10026,722789.879068876,5424875.392715677
10027,722788.6493284176,5424834.324075466
10028,723032.3898899304,5424843.986968184
10029,722813.6975478663,5424460.610219163
1003,694029.1279958072,5419291.8698392315
10030,722415.2619985032,5424243.1554339975
10031,722506.7025623741,5424085.677119225
10032,723419.9411770127,5424633.577160811
10033,723199.8992466431,5424607.257505266
10034,723091.9102184906,5423764.1826426685
10035,722732.5446309759,5424487.221778929
10036,723027.9677855297,5423882.6425749585
10037,722922.4944975032,5423975.240482147
10038,722821.3208674008,5424831.855947367
10039,722721.1422691352,5424523.563357843
1004,694654.7219098256,5419417.285554358
10040,723058.1911922538,5423833.105162395
10041,723207.819217649,5423850.405136469
10042,723189.5783165579,5424812.9793513175
10043,722829.5567142213,5424099.900046276
10044,723103.5572608104,5424704.210943544
10045,722797.3847370648,5424850.531439557
10046,723096.6226262379,5423925.168225632
10047,723131.4424939372,5424593.177178282
10048,722838.7247668284,5424503.7795450995
10049,722901.5197105355,5423801.944493287
1005,693950.4218479518,5419433.65601368
10050,723320.5807893906,5424664.5593179045
10051,722988.9411757473,5424052.58390347
10052,722841.5508510696,5424830.18131034
10053,723020.5288979876,5424598.659647914
10054,723262.9425296418,5424564.509348019
10055,722934.1751929264,5424565.979618242
10056,722773.9229015523,5424413.916583684
10057,722520.0796963678,5424190.079929541
10058,722844.3106943414,5424280.018397243
10059,722881.1302450467,5424759.5772539135
1006,694710.4532798418,5419228.907269389
10060,723026.7293205666,5424540.6005136
10061,723019.3764771125,5423998.312165622
10062,722944.9622419991,5424748.180394104
10063,723048.8910803149,5424744.969214798
10064,723205.680885099,5424469.886450125
10065,723082.682487583,5424682.542764608
10066,722462.1791645085,5424231.167498245
10067,722996.9646466523,5424459.722682481
10068,722782.9199072518,5424154.044448942
10069,722971.46602974,5424861.199334446
1007,694435.8483622811,5419356.011376638
