frdepartureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;travelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
20651.0;18459;KEXI-1;27020802;710887.46;5420998.24;-327723573#2;713499.79;5419755.04;1343.0;22311.0;317.0;3758.78;3758.78;-2;21851;22352.31
23522.0;17021;KEXI-2;-27543676;710688.97;5422681.97;27391465;711994.76;5421104.15;147.0;23960.0;291.0;2951.71;2951.71;-2;24722;25158.65
24393.0;17937;KEXI-2;4712335#0;711419.01;5421225.21;-327723573#2;713499.79;5419755.04;123.0;24785.0;269.0;2835.87;2835.87;-2;25593;25950.16
25167.0;14756;KEXI-1;-125685185#4;712929.61;5420534.18;-27687533#0;711759.71;5422153.87;140.0;25842.0;535.0;4335.3;3132.16;-2;26367;26819.91
25440.0;18374;KEXI-1;27688060#0;712503.05;5422008.92;-27543676;710688.97;5422681.97;241.0;26048.0;367.0;2919.29;2240.75;-2;26640;26954
25996.0;16894;KEXI-1;-27543676;710688.97;5422681.97;-27020964;710644.1;5421138.83;112.0;26396.0;288.0;2732.92;2732.92;-2;27196;27609.03
26305.0;14689;KEXI-2;-27389320;712509.86;5420678.95;-27020768#1;710890.01;5421202.58;204.0;26708.0;199.0;2222.61;2222.61;-2;27505;27812.68
27587.0;16184;KEXI-1;-24744482#3;710277.32;5422621.13;-27886380#1;713070.17;5422197.25;309.0;28654.0;758.0;6172.41;4071.91;-2;28787;29301.75
27701.0;17324;KEXI-1;437343741#2;709593.27;5422993.9;26837615#1;712005.01;5420673.26;330.0;29037.0;1006.0;8806.67;4219.61;-2;28901;29508.07
27795.0;14442;KEXI-1;27099647#0;710536.7;5423249.19;-26837724#4;711890.38;5420924.79;488.0;29138.0;855.0;7532.56;3918.5;-2;28995;29624.91
27891.0;15172;KEXI-2;27215463;711896.02;5421988.39;437343741#2;709593.27;5422993.9;296.0;28444.0;257.0;3122.1;3122.1;-2;29091;29474.65
28393.0;17282;KEXI-2;-27544572#2;709059.54;5423211.92;-27688083#1;712227.04;5421865.44;252.0;29039.0;394.0;4117.13;4117.13;-2;29593;30183.81
