,stopIds,fromLink,toLink,anzahlFahrten
1,115-63,-11812197#1,27885581#0,1
2,68-115,-125685185#4,-11812197#1,1
3,68-43,-125685185#4,-27687533#0,1
4,19-124,-155813244#1,376292334#1,1
5,130-56,-24744482#3,-27886380#1,1
6,30-1,-26526533#9,-27544645#0,1
7,140-99,-26773155#1,289028887,1
8,82-18,-26791785#4,27253744#3,1
9,87-145,-26837724#2,-27543676,1
10,69-143,-26837775#1,-27391993#1,1
11,106-54,-27020768#1,27689484#1,1
12,75-45,-27093639#6,841157542,1
13,131-82,-27100093,-26791785#4,1
14,131-43,-27100093,-27687533#0,1
15,110-131,-27323166#0,-27100093,1
16,73-106,-27389320,-27020768#1,1
17,72-18,-27389654,27253744#3,1
18,145-108,-27543676,-27020964,1
19,145-86,-27543676,27391465,1
20,145-53,-27543676,27688060#0,1
21,144-59,-27544065#0,-955794312#3,1
22,13-105,-27544119,26791742#0,1
23,4-46,-27544572#2,-27688083#1,1
24,4-58,-27544572#2,27886434,1
25,43-23,-27687533#0,-427270561,1
26,48-56,-27687839#1,-27886380#1,1
27,146-115,-27690625,-11812197#1,1
28,146-116,-27690625,367435047#2,1
29,56-130,-27886380#1,-24744482#3,1
30,56-66,-27886380#1,-327723573#2,1
31,56-94,-27886380#1,485575719#3,1
32,57-131,-27886459#3,-27100093,1
33,66-106,-327723573#2,-27020768#1,1
34,66-136,-327723573#2,27391901,1
35,66-124,-327723573#2,376292334#1,1
36,23-116,-427270561,367435047#2,1
37,83-84,-485575715#0,27391263#2,1
38,59-144,-955794312#3,-27544065#0,1
39,70-,202895446#0,367435046#2,1
40,128-95,239897149#1,4712335#0,1
41,35-55,24608752#6,-27689484#0,1
42,97-128,26773082#1,239897149#1,1
43,101-124,26791742#3,376292334#1,1
44,109-66,27020802,-327723573#2,1
45,109-58,27020802,27886434,1
46,79-9,27090804#4,-27544125,1
47,11-92,27099647#0,-26837724#4,1
48,11-71,27099647#0,27391189#0,1
49,96-7,27182858#0,27544221#0,1
50,44-6,27215463,437343741#2,1
51,33-82,27215700,-26791785#4,1
52,12-113,27215757#2,26773112#1,1
53,71-115,27391189#0,-11812197#1,1
54,84-131,27391263#2,-27100093,1
55,86-30,27391465,-26526533#9,1
56,86-4,27391465,-27544572#2,1
57,7-96,27544221#0,27182858#0,1
58,32-64,27687320#0,428903527,1
59,47-140,27687812#1,-26773155#1,1
60,47-145,27687812#1,-27543676,1
61,53-145,27688060#0,-27543676,1
62,60-8,27886223,35048737#1,1
63,8-103,35048737#1,27182739#0,1
64,6-88,437343741#2,26837615#1,1
65,95-66,4712335#0,-327723573#2,1
66,104-80,4712335#3,26791785#8,1
67,85-129,487455692#2,-26801184,1
