Stop ID,Link ID,X,Y
1,-27544645#0,708979.3300000001,5423151.95
2,-27544968#2,708992.15,5423015.77
3,-141764405,708895.6000000001,5423462.819999999
4,-27544572#2,709059.54,5423211.92
5,-27544572#0,709518.98,5423088.09
6,437343741#2,709593.27,5422993.899999999
7,27544221#0,709950.17,5422936.239999999
8,35048737#1,710360.52,5422855.5
9,-27544125,710428.72,5422955.0
10,28334481,710425.7,5423026.55
11,27099647#0,710536.7,5423249.1899999995
12,27215757#2,710518.0700000001,5423199.09
13,-27544119,710428.72,5422955.0
14,-27545151,710732.7,5422960.029999999
15,27543522#0,710965.68,5422876.069999999
16,-27545147,710791.5,5423005.17
17,-27569240,710871.63,5423063.489999999
18,27253744#3,710947.27,5423248.739999999
19,-155813244#1,711262.3200000001,5423283.63
20,-155813246,711284.45,5423241.47
21,27545189#1,711130.6100000001,5423144.81
22,-27545189#1,711104.0800000001,5422975.43
23,-427270561,711100.02,5422845.89
24,-137387669,711172.71,5422916.84
25,-335890851,711280.31,5422950.76
26,-11008638#1,711456.43,5422899.72
27,27545429#0,711626.38,5422967.8
28,-27545490#0,711714.77,5422805.9799999995
29,338391941,711801.17,5423225.2
30,-26526533#9,711320.42,5422654.25
31,8599769#0,711136.45,5422689.5
32,27687320#0,711168.3300000001,5422506.5
33,27215700,710972.28,5422313.85
34,-27253416#3,711144.0800000001,5422315.899999999
35,24608752#6,711144.23,5422154.02
36,-27089112#2,711360.67,5422358.05
37,27253466#4,711357.04,5422045.6
38,-27687457#0,711415.38,5421756.22
39,485539145#0,711602.72,5421889.12
40,-27215467#0,711539.37,5422247.529999999
41,-27687486#0,711537.77,5422335.6899999995
42,485539146#3,711831.3400000001,5422350.52
43,-27687533#0,711759.71,5422153.87
44,27215463,711896.02,5421988.39
45,841157542,711974.8600000001,5421805.84
46,-27688083#1,712227.04,5421865.4399999995
47,27687812#1,712274.43,5422052.72
48,-27687839#1,712152.1000000001,5422212.609999999
49,-24608747#6,712153.0700000001,5422295.64
50,-27545913#1,712009.5,5422480.06
51,501035351,712298.3400000001,5422337.02
52,-24608747#3,712502.44,5422206.4399999995
53,27688060#0,712503.05,5422008.92
54,27689484#1,712642.0,5421950.609999999
55,-27689484#0,713253.46,5421964.489999999
56,-27886380#1,713070.17,5422197.25
57,-27886459#3,713253.46,5421964.489999999
58,27886434,713356.88,5422209.9399999995
59,-955794312#3,713534.77,5422015.7
60,27886223,713705.21,5421950.02
61,-27886359#0,713753.3,5422067.649999999
62,125690144,714949.9,5420704.029999999
63,27885581#0,713642.55,5421272.34
64,428903527,713339.37,5420955.0
65,-27213687,713427.3400000001,5420265.38
66,-327723573#2,713499.79,5419755.04
67,327723572#0,712987.55,5420608.26
68,-125685185#4,712929.6100000001,5420534.18
69,-26837775#1,712666.55,5420772.95
70,202895446#0,712773.7,5420949.55
71,27391189#0,712517.18,5421117.76
72,-27389654,712503.46,5420876.64
73,-27389320,712509.8600000001,5420678.95
74,-27213008#5,712592.0,5420573.029999999
75,-27093639#6,712615.65,5420411.58
76,-27090761#1,712430.53,5420312.01
77,27388849#0,712016.3500000001,5420139.239999999
78,-364737665,712083.7,5420316.279999999
79,27090804#4,712153.54,5420413.069999999
80,26791785#8,712324.94,5420556.33
81,-27389166,712233.04,5420692.779999999
82,-26791785#4,712387.77,5420794.2299999995
83,-485575715#0,712281.75,5420922.739999999
84,27391263#2,712280.3200000001,5421121.2299999995
85,487455692#2,712199.3,5421069.35
86,27391465,711994.76,5421104.149999999
87,-26837724#2,712130.96,5420887.45
88,26837615#1,712005.01,5420673.26
89,-26773024#0,711904.5,5420604.72
90,27020253,712005.01,5420673.26
91,-26837659#0,711877.3500000001,5420829.7299999995
92,-26837724#4,711890.38,5420924.79
93,-26773029#0,711584.13,5420877.609999999
94,485575719#3,711572.8200000001,5421044.05
95,4712335#0,711419.01,5421225.21
96,27182858#0,711496.29,5421159.359999999
97,26773082#1,711400.28,5421000.26
98,26773029#1,710984.77,5420915.72
99,289028887,711138.3300000001,5420985.39
100,27019781#0,711195.25,5421042.77
101,26791742#3,711342.6000000001,5421116.71
102,-27019781#1,711195.25,5421042.77
103,27182739#0,711213.52,5421259.14
104,4712335#3,711054.8300000001,5421349.13
105,26791742#0,711022.5700000001,5421251.45
106,-27020768#1,710890.01,5421202.58
107,27021555#1,710894.55,5420954.02
108,-27020964,710644.1000000001,5421138.83
109,27020802,710887.46,5420998.239999999
110,-27323166#0,710894.55,5420954.02
111,27323166#0,710453.1100000001,5421076.0
112,27020863#4,710468.47,5421322.399999999
113,26773112#1,710594.48,5421525.35
114,487456219#3,710461.55,5421663.319999999
115,-11812197#1,710381.24,5421685.97
116,367435047#2,710260.97,5421641.649999999
117,-297723283,710272.63,5421574.25
118,487458628#2,710224.55,5421565.33
119,27172647,710304.3300000001,5421317.16
120,27172624#0,710175.87,5421319.35
121,-181275153,709742.4,5421516.41
122,-403665341#3,709563.81,5421850.33
123,690955526,709968.73,5421840.29
124,376292334#1,710056.43,5421942.35
125,-620652853,710256.56,5422028.62
126,95355876,710684.5,5421827.08
127,-27456890#1,710728.41,5421976.83
128,239897149#1,710729.99,5422322.04
129,-26801184,710459.64,5422544.95
130,-24744482#3,710277.3200000001,5422621.13
131,-27100093,710233.12,5422419.279999999
132,26838017#2,710411.9,5422373.87
133,27392297#1,710548.94,5422312.51
134,27392519#0,710414.47,5422178.06
135,618949634,710250.28,5422148.4399999995
136,27391901,709987.87,5422218.359999999
137,-27088678,710037.19,5422468.42
138,-956034530#1,710037.19,5422468.42
139,-48640231,709208.8500000001,5422307.47
140,-26773155#1,709936.74,5422582.029999999
141,26773155#6,709656.3600000001,5422683.35
142,-27391993#2,710040.54,5422729.17
143,-27391993#1,710112.22,5422579.77
144,-27544065#0,710510.0700000001,5422669.54
145,-27543676,710688.97,5422681.97
146,-27690625,710816.1000000001,5422492.109999999
147,27215296#1,711013.53,5422677.31
