,frdepartureTime,personId,vehicleId,fromLinkId,fromX,fromY,toLinkId,toX,toY,waitTime,arrivalTime,travelTime,travelDistance_m,directTravelDistance_m,fareForLeg,latestDepartureTime,latestArrivalTime
36,50562,14028,KEXI-3,-11812197#1,710381.24,5421685.97,27885581#0,713642.55,5421272.34,207,51198,429,4131.18,4131.18,-2,51762,52355.9
30,47611,41201,KEXI-1,-125685185#4,712929.61,5420534.18,-11812197#1,710381.24,5421685.97,251,49023,1161,9781.94,3307.76,-2,48811,49305.04
4,25167,14756,KEXI-1,-125685185#4,712929.61,5420534.18,-27687533#0,711759.71,5422153.87,140,25842,535,4335.3,3132.16,-2,26367,26819.91
63,74902,17712,KEXI-3,-155813244#1,711262.32,5423283.63,376292334#1,710056.43,5421942.35,361,75521,258,2421.52,2421.52,-2,76102,76464.61
8,27587,16184,KEXI-1,-24744482#3,710277.32,5422621.13,-27886380#1,713070.17,5422197.25,309,28654,758,6172.41,4071.91,-2,28787,29301.75
55,64934,17306,KEXI-3,-26526533#9,711320.42,5422654.25,-27544645#0,708979.33,5423151.95,657,65865,274,2598.98,2598.98,-2,66134,66515.45
47,61364,14875,KEXI-3,-26773155#1,709936.74,5422582.03,289028887,711138.33,5420985.39,355,62012,293,2720.84,2720.84,-2,62564,63024.66
43,59563,14310,KEXI-4,-26791785#4,712387.77,5420794.23,27253744#3,710947.27,5423248.74,318,60277,396,4052.66,4052.66,-2,60763,61321.49
33,48421,17027,KEXI-1,-26837724#2,712130.96,5420887.45,-27543676,710688.97,5422681.97,284,49685,980,6550.26,3530.37,-2,49621,50146.02
50,62535,37067,KEXI-3,-26837775#1,712666.55,5420772.95,-27391993#1,710112.22,5422579.77,281,63338,522,4807.36,4626.17,-2,63735,64423.45
61,73031,18440,KEXI-3,-27020768#1,710890.01,5421202.58,27689484#1,712642,5421950.61,239,73622,352,3457,3457,-2,74231,74719.52
53,64562,14823,KEXI-3,-27093639#6,712615.65,5420411.58,841157542,711974.86,5421805.84,112,65260,586,5766.77,2446.62,-2,65762,66149.34
57,68047,15750,KEXI-3,-27100093,710233.12,5422419.28,-26791785#4,712387.77,5420794.23,112,68488,329,3691.75,3517.21,-2,69247,69796.79
51,62684,15245,KEXI-3,-27100093,710233.12,5422419.28,-27687533#0,711759.71,5422153.87,571,63652,397,3427.53,2454.61,-2,63884,64235.09
26,42152,18579,KEXI-2,-27323166#0,710894.55,5420954.02,-27100093,710233.12,5422419.28,382,43447,913,8988.9,2394.72,-2,43352,43696.59
7,26305,14689,KEXI-2,-27389320,712509.86,5420678.95,-27020768#1,710890.01,5421202.58,204,26708,199,2222.61,2222.61,-2,27505,27812.68
58,70262,14350,KEXI-3,-27389654,712503.46,5420876.64,27253744#3,710947.27,5423248.74,124,70805,419,4081.66,4081.66,-2,71462,72049.47
6,25996,16894,KEXI-1,-27543676,710688.97,5422681.97,-27020964,710644.1,5421138.83,112,26396,288,2732.92,2732.92,-2,27196,27609.03
2,23522,17021,KEXI-2,-27543676,710688.97,5422681.97,27391465,711994.76,5421104.15,147,23960,291,2951.71,2951.71,-2,24722,25158.65
