date;area;persons;sharePersonLeavingHome;dailyRangePerPerson
20200308;Kreis Olpe;133505;63.0;13.61
20200308;Landkreis Goslar;134994;63.0;16.0
20200308;Landkreis Alzey-Worms;133789;66.0;15.93
20200308;Dessau-Roßlau;85312;57.00000000000001;10.28
20200308;Kreis Soest;294149;65.0;13.57
20200308;Regionalverband Saarbrücken;323339;65.0;11.16
20200308;Bielefeld;346400;69.0;10.89
20200308;Neustadt an der Weinstraße;44717;67.0;11.36
20200308;Landkreis Würzburg;161767;68.0;19.16
20200308;Landkreis St. Wendel;89647;68.0;12.370000000000001
20200308;Ostalbkreis;319482;67.0;12.97
20200308;Hof;43505;59.0;10.84
20200308;Oberhausen;210896;67.0;8.92
20200308;Landkreis Südliche Weinstraße;156606;70.0;13.85
20200308;Landkreis Cochem-Zell;65251;59.0;17.98
20200308;Landkreis Sonneberg;43261;59.0;12.56
20200308;Rhein-Sieg-Kreis;477503;68.0;11.44
20200308;Ludwigshafen am Rhein;155546;67.0;9.34
20200308;Leipzig;543438;66.0;10.35
20200308;Kreis Siegen-Wittgenstein;267967;65.0;13.05
20200308;Landkreis Wesermarsch;74393;67.0;15.05
20200308;Landkreis Traunstein;163163;62.0;22.69
20200308;Landkreis Passau;194940;57.99999999999999;42.12
20200308;Städteregion Aachen;533913;67.0;14.44
20200308;Rhein-Lahn-Kreis;116139;67.0;13.75
20200308;Landkreis Oberspreewald-Lausitz;121928;57.99999999999999;20.6
20200308;Brandenburg an der Havel;73531;59.0;12.88
20200308;Landkreis Nordhausen;82574;62.0;15.22
20200308;Kreis Stormarn;231922;65.0;13.42
20200308;Bottrop;105260;66.0;8.34
20200308;Landkreis Hersfeld-Rotenburg;122245;64.0;23.0
20200308;Hamm;183957;66.0;11.13
20200308;Landkreis Cuxhaven;160772;66.0;15.94
20200308;Landkreis Augsburg;206476;66.0;14.71
20200308;Zollernalbkreis;175813;64.0;11.63
20200308;Rhein-Pfalz-Kreis;155731;67.0;13.120000000000001
20200308;Landkreis Pfaffenhofen an der Ilm;115810;62.0;18.78
20200308;Landkreis Neumarkt in der Oberpfalz;123228;63.0;22.18
20200308;Landkreis Rastatt;223970;67.0;15.17
20200308;Landkreis Schaumburg;171785;68.0;17.31
20200308;Ingolstadt;128145;65.0;11.15
20200308;Landkreis Göppingen;269218;67.0;12.06
20200308;Jena;113878;67.0;11.94
20200308;Eisenach;41617;62.0;15.24
20200308;Landkreis Eichstätt;122509;65.0;17.84
20200308;Landkreis Rostock;201020;64.0;19.18
20200308;Solingen;170543;71.0;8.69
20200308;Landkreis Lichtenfels;64655;63.0;13.620000000000001
20200308;Landkreis Saalfeld-Rudolstadt;89979;57.00000000000001;11.85
20200308;Krefeld;239269;66.0;8.48
20200308;Wetteraukreis;286892;69.0;14.450000000000001
20200308;Landkreis Ludwigsburg;497949;68.0;10.72
20200308;Landkreis Mainz-Bingen;230561;68.0;13.42
20200308;Ulm;144601;67.0;12.43
20200308;Landkreis Teltow-Fläming;144385;62.0;19.43
20200308;Kreis Dithmarschen;132126;65.0;14.38
20200308;Kreis Mettmann;453464;67.0;9.63
20200308;Landkreis Neuburg-Schrobenhausen;89420;62.0;14.120000000000001
20200308;Weiden in der Oberpfalz;38203;57.99999999999999;11.83
20200308;Landkreis Hildburghausen;64524;56.00000000000001;15.280000000000001
20200308;Landkreis Rotenburg (Wümme);160030;64.0;19.900000000000002
20200308;Landkreis Hof;97940;64.0;21.95
20200308;Landkreis Konstanz;274026;63.0;14.5
20200308;Landkreis Stendal;119591;63.0;16.85
20200308;Heidelberg;147270;68.0;11.71
20200308;Rhein-Erft-Kreis;424581;67.0;11.16
20200308;Landkreis Weilheim-Schongau;131637;61.0;14.9
20200308;Mannheim;304509;68.0;11.43
20200308;Landkreis Osterholz;94177;66.0;13.620000000000001
20200308;Schwabach;36515;59.0;14.77
20200308;Landkreis Südwestpfalz;121950;65.0;11.81
20200308;Landkreis Miltenberg;146049;60.0;14.72
20200308;Coburg;36693;59.0;9.96
20200308;Essen;570863;68.0;8.52
20200308;Flensburg;85636;60.0;13.61
20200308;Ilm-Kreis;85174;60.0;15.31
20200308;Bremen;604538;66.0;11.14
20200308;Landkreis Mecklenburgische Seenplatte;271931;57.00000000000001;16.34
20200308;Landkreis Calw;148577;64.0;11.9
20200308;Landkreis Aurich;178490;68.0;14.030000000000001
20200308;Landkreis Prignitz;82748;57.00000000000001;22.04
20200308;Hohenlohekreis;102494;62.0;17.06
20200308;Landkreis Schwäbisch Hall;182050;64.0;15.99
20200308;Landkreis Freudenstadt;115346;67.0;14.05
20200308;Kreis Wesel;433506;64.0;11.14
20200308;Landkreis Waldeck-Frankenberg;161695;62.0;17.150000000000002
20200308;Köln;1067079;69.0;10.200000000000001
20200308;Landkreis Mittelsachsen;319645;60.0;15.06
20200308;Baden-Baden;51864;65.0;14.950000000000001
20200308;Landkreis Erlangen-Höchstadt;154335;65.0;14.4
20200308;Lahn-Dill-Kreis;251594;65.0;13.57
20200308;Ortenaukreis;435009;65.0;14.63
20200308;Landkreis Nordwestmecklenburg;142908;64.0;17.22
20200308;Kassel;216911;70.0;11.67
20200308;Landkreis Günzburg;119397;64.0;17.01
20200308;Kreis Gütersloh;329531;65.0;12.02
20200308;Karlsruhe;308358;68.0;11.39
20200308;Kreis Paderborn;286082;65.0;12.84
20200308;Landkreis Rhön-Grabfeld;84766;62.0;16.02
20200308;Landkreis Saarlouis;209432;65.0;10.53
20200308;Landkreis Neustadt an der Waldnaab;138515;63.0;32.55
20200308;Landkreis Starnberg;131336;65.0;14.22
20200308;Amberg;36800;57.99999999999999;9.98
20200308;Kreis Minden-Lübbecke;307376;69.0;13.42
20200308;Landkreis Mayen-Koblenz;230014;71.0;14.620000000000001
20200308;Landkreis Marburg-Biedenkopf;244902;65.0;12.8
20200308;Straubing;39592;60.0;10.83
20200308;Landkreis Altötting;111521;61.0;22.7
20200308;Landkreis Birkenfeld;91698;61.0;12.33
20200308;Delmenhorst;89066;66.0;10.43
20200308;Landkreis Vulkaneifel;73285;57.99999999999999;18.93
20200308;Landkreis Hameln-Pyrmont;149460;65.0;11.56
20200308;Braunschweig;259361;65.0;11.24
20200308;Landkreis Havelland;146360;62.0;17.52
20200308;Landkreis Bad Dürkheim;145511;67.0;13.13
20200308;Landkreis Miesbach;93895;63.0;20.36
20200308;Saalekreis;160940;63.0;16.12
20200308;Bochum;364535;68.0;8.790000000000001
20200308;Landkreis Bad Kreuznach;169148;66.0;13.89
20200308;Landkreis Landsberg am Lech;124450;63.0;16.57
20200308;Landkreis Sömmerda;74682;63.0;15.63
20200308;Landkreis Verden;128064;65.0;17.830000000000002
20200308;Landkreis Neuwied;186180;70.0;14.71
20200308;Landkreis Ravensburg;269236;68.0;17.13
20200308;Landkreis Leer;159482;68.0;17.61
20200308;Kreis Ostholstein;172879;64.0;18.97
20200308;Magdeburg;239098;63.0;10.450000000000001
20200308;Landkreis Kronach;71378;57.99999999999999;13.540000000000001
20200308;Kreis Segeberg;284931;65.0;13.3
20200308;Kreis Plön;162065;66.0;14.05
20200308;Landkreis Rosenheim;235147;66.0;30.69
20200308;Landkreis Cloppenburg;157149;68.0;16.41
20200308;Landkreis Tirschenreuth;71515;57.99999999999999;19.95
20200308;Landkreis Kulmbach;76770;64.0;15.540000000000001
20200308;Mönchengladbach;275352;65.0;8.98
20200308;Landkreis Fürth;96953;67.0;11.790000000000001
20200308;Landkreis Göttingen;310583;66.0;14.85
20200308;Landkreis Vechta;130600;65.0;18.36
20200308;Landkreis Oberhavel;205102;59.0;13.96
20200308;Kreis Euskirchen;187314;66.0;12.950000000000001
20200308;Fürth;130018;69.0;9.59
20200308;Landkreis Heidekreis;133161;64.0;25.04
20200308;Hochsauerlandkreis;258710;63.0;14.94
20200308;Landkreis Reutlingen;266893;68.0;10.82
20200308;Kreis Borken;362284;64.0;14.44
20200308;Wilhelmshaven;79769;64.0;10.41
20200308;Kreis Unna;363771;66.0;10.49
20200308;Westerwaldkreis;192822;67.0;16.18
20200308;Regensburg;154246;68.0;12.540000000000001
20200308;Altmarkkreis Salzwedel;84909;59.0;16.88
20200308;Kreis Groß-Gerau;239858;67.0;13.89
20200308;Landkreis Görlitz;264270;57.00000000000001;33.14
20200308;Landkreis Emmendingen;157677;65.0;12.74
20200308;Landkreis Breisgau-Hochschwarzwald;255436;65.0;18.59
20200308;Kreis Nordfriesland;159399;65.0;17.27
20200308;Landkreis Bautzen;304515;62.0;19.97
20200308;Landkreis Ludwigslust-Parchim;207072;59.0;21.27
20200308;Augsburg;314518;67.0;10.63
20200308;Landkreis Regen;73814;56.00000000000001;18.28
20200308;Berlin;3458871;69.0;9.5
20200308;Lübeck;238144;64.0;11.66
20200308;Neckar-Odenwald-Kreis;146239;62.0;13.88
20200308;Bamberg;65362;62.0;12.84
20200308;Landkreis Dahme-Spreewald;142573;61.0;21.06
20200308;Landkreis Holzminden;82045;63.0;14.81
20200308;Erfurt;203195;65.0;11.89
20200308;Mainz;209758;71.0;10.99
20200308;Landkreis Mühldorf am Inn;116951;67.0;16.15
20200308;Schwerin;98662;61.0;12.700000000000001
20200308;Landkreis München;331407;64.0;12.780000000000001
20200308;Landkreis Hildesheim;256602;66.0;12.76
20200308;Landkreis Freyung-Grafenau;78031;57.99999999999999;22.16
20200308;Neumünster;73444;60.0;11.08
20200308;Landkreis Waldshut;163174;48.0;11.700000000000001
20200308;Landkreis Limburg-Weilburg;181751;69.0;16.39
20200308;Emden;53314;69.0;12.6
20200308;Kreis Steinfurt;425368;65.0;13.950000000000001
20200308;Landkreis Karlsruhe;395772;65.0;12.9
20200308;Rhein-Kreis Neuss;418464;64.0;10.01
20200308;Vogelsbergkreis;99330;61.0;21.69
20200308;Dresden;572368;68.0;13.14
20200308;München;1419959;70.0;10.89
20200308;Kreis Herzogtum Lauenburg;203271;65.0;14.39
20200308;Landkreis Aschaffenburg;175043;63.0;16.28
20200308;Landkreis Haßberge;82114;64.0;16.57
20200308;Landkreis Esslingen;488039;69.0;10.950000000000001
20200308;Landkreis Grafschaft Bentheim;130650;64.0;29.2
20200308;Pforzheim;111874;68.0;9.48
20200308;Landkreis Oldenburg;90647;67.0;18.150000000000002
20200308;Kreis Viersen;268723;66.0;18.77
20200308;Main-Kinzig-Kreis;394865;65.0;13.21
20200308;Landkreis Aichach-Friedberg;115301;67.0;15.23
20200308;Aschaffenburg;66642;64.0;11.92
20200308;Schwarzwald-Baar-Kreis;200533;64.0;12.25
20200308;Landkreis Cham;125718;63.0;20.62
20200308;Landkreis Altenburger Land;89096;60.0;12.24
20200308;Landkreis Ebersberg;145955;65.0;15.55
20200308;Landkreis Wolfenbüttel;118477;66.0;13.49
20200308;Kreis Rendsburg-Eckernförde;297664;66.0;14.48
20200308;Landkreis Kelheim;107756;64.0;16.47
20200308;Landkreis Bayreuth;98988;64.0;23.19
20200308;Landkreis Lindau;82232;62.0;32.89
20200308;Landkreis Jerichower Land;91979;65.0;20.95
20200308;Potsdam;169225;64.0;11.52
20200308;Alb-Donau-Kreis;197499;66.0;14.76
20200308;Kaufbeuren;35980;63.0;12.19
20200308;Landkreis Anhalt-Bitterfeld;170282;63.0;13.33
20200308;Kreis Coesfeld;206629;64.0;12.63
20200308;Kreis Warendorf;261930;65.0;12.26
20200308;Landkreis Amberg-Sulzbach;104318;62.0;17.29
20200308;Landkreis Uckermark;118735;57.99999999999999;30.26
20200308;Landkreis Dachau;154799;67.0;13.98
20200308;Landkreis Lüchow-Dannenberg;55535;57.99999999999999;17.44
20200308;Frankfurt am Main;705464;70.0;11.17
20200308;Oldenburg;189977;65.0;12.19
20200308;Wolfsburg;120904;62.0;11.86
20200308;Rheingau-Taunus-Kreis;152829;65.0;13.56
20200308;Landkreis Kassel;257173;68.0;14.870000000000001
20200308;Kaiserslautern;86401;68.0;9.74
20200308;Erlangen;106156;65.0;11.66
20200308;Landkreis Bamberg;147005;66.0;16.7
20200308;Landkreis Oberallgäu;137523;69.0;21.56
20200308;Frankfurt (Oder);59153;70.0;94.39
20200308;Landkreis Tübingen;211113;70.0;11.55
20200308;Landkreis Germersheim;136065;66.0;15.41
20200308;Landkreis Zwickau;319953;60.0;11.200000000000001
20200308;Kreis Herford;237423;70.0;12.67
20200308;Landkreis Diepholz;191800;66.0;15.02
20200308;Passau;50371;66.0;47.56
20200308;Landkreis Schweinfurt;107470;72.0;16.1
20200308;Schwalm-Eder-Kreis;180216;67.0;17.93
20200308;Eifelkreis Bitburg-Prüm;101150;56.00000000000001;18.87
20200308;Landkreis Vorpommern-Rügen;213157;63.0;17.39
20200308;Landkreis Dillingen an der Donau;91998;65.0;14.75
20200308;Landkreis Berchtesgadener Land;101115;56.00000000000001;33.93
20200308;Zweibrücken;32422;65.0;9.83
20200308;Würzburg;129852;68.0;13.16
20200308;Hamburg;1798396;67.0;11.950000000000001
20200308;Landkreis Gotha;135804;63.0;16.68
20200308;Kreis Pinneberg;275156;64.0;10.76
20200308;Deutschland;79585670;65.0;13.86
20200308;Düsseldorf;617912;67.0;10.24
20200308;Kyffhäuserkreis;70236;62.0;15.63
20200308;Landkreis Kaiserslautern;116078;66.0;13.27
20200308;Landkreis Weißenburg-Gunzenhausen;88719;64.0;15.59
20200308;Landkreis Ostallgäu;136906;65.0;31.62
20200308;Kreis Höxter;123733;64.0;15.36
20200308;Heilbronn;116373;67.0;9.790000000000001
20200308;Weimar;68843;66.0;14.1
20200308;Landkreis Gießen;248888;68.0;13.93
20200308;Schweinfurt;54436;65.0;11.05
20200308;Kiel;254033;66.0;10.51
20200308;Landkreis Märkisch-Oderland;178115;63.0;23.34
20200308;Kreis Lippe;324482;68.0;12.57
20200308;Saale-Orla-Kreis;83951;57.00000000000001;21.03
20200308;Landkreis Helmstedt;95533;65.0;24.79
20200308;Halle (Saale);256362;64.0;9.58
20200308;Landau in der Pfalz;6958;75.0;14.700000000000001
20200308;Salzlandkreis;200552;61.0;13.120000000000001
20200308;Offenbach am Main;142472;70.0;10.02
20200308;Erzgebirgskreis;362166;57.00000000000001;13.88
20200308;Cottbus - Chóśebuz;100728;56.00000000000001;12.22
20200308;Rems-Murr-Kreis;403156;68.0;10.66
20200308;Landkreis Landshut;145047;65.0;16.31
20200308;Landkreis Kitzingen;81146;69.0;24.900000000000002
20200308;Landkreis Bad Tölz-Wolfratshausen;118118;66.0;14.950000000000001
20200308;Landkreis Wittmund;51709;71.0;15.88
20200308;Landkreis Leipzig;239432;61.0;13.450000000000001
20200308;Salzgitter;93163;63.0;11.43
20200308;Landkreis Neu-Ulm;166592;67.0;13.74
20200308;Münster;293901;67.0;11.52
20200308;Saale-Holzland-Kreis;80148;60.0;19.41
