date;Landkreis;outOfHomeDuration;percentageChangeComparedToBeforeCorona
20200308;Kreis Olpe;7.0200000000000005;0
20200308;Landkreis Goslar;7.41;0
20200308;Landkreis Alzey-Worms;7.67;0
20200308;Dessau-Roßlau;6.18;0
20200308;Kreis Soest;7.32;0
20200308;Regionalverband Saarbrücken;7.01;0
20200308;Bielefeld;7.92;0
20200308;Neustadt an der Weinstraße;6.53;0
20200308;Landkreis Würzburg;8.39;0
20200308;Landkreis St. Wendel;8.26;0
20200308;Ostalbkreis;7.68;0
20200308;Hof;6.46;0
20200308;Oberhausen;6.59;0
20200308;Landkreis Südliche Weinstraße;8.2;0
20200308;Landkreis Cochem-Zell;7.15;0
20200308;Landkreis Sonneberg;5.33;0
20200308;Rhein-Sieg-Kreis;6.15;0
20200308;Ludwigshafen am Rhein;6.58;0
20200308;Leipzig;6.890000000000001;0
20200308;Kreis Siegen-Wittgenstein;7.12;0
20200308;Landkreis Wesermarsch;7.26;0
20200308;Landkreis Traunstein;7.33;0
20200308;Landkreis Passau;7.01;0
20200308;Städteregion Aachen;7.34;0
20200308;Rhein-Lahn-Kreis;7.29;0
20200308;Landkreis Oberspreewald-Lausitz;7.78;0
20200308;Brandenburg an der Havel;6.82;0
20200308;Landkreis Nordhausen;7.96;0
20200308;Kreis Stormarn;5.48;0
20200308;Bottrop;5.78;0
20200308;Landkreis Hersfeld-Rotenburg;8.32;0
20200308;Hamm;7.21;0
20200308;Landkreis Cuxhaven;6.83;0
20200308;Landkreis Augsburg;6.36;0
20200308;Zollernalbkreis;7.22;0
20200308;Rhein-Pfalz-Kreis;7.54;0
20200308;Landkreis Pfaffenhofen an der Ilm;6.93;0
20200308;Landkreis Neumarkt in der Oberpfalz;7.82;0
20200308;Landkreis Rastatt;7.8500000000000005;0
20200308;Landkreis Schaumburg;9.0;0
20200308;Ingolstadt;7.13;0
20200308;Landkreis Göppingen;7.21;0
20200308;Jena;8.02;0
20200308;Eisenach;7.3100000000000005;0
20200308;Landkreis Eichstätt;7.76;0
20200308;Landkreis Rostock;6.2700000000000005;0
20200308;Solingen;8.26;0
20200308;Landkreis Lichtenfels;7.0200000000000005;0
20200308;Landkreis Saalfeld-Rudolstadt;5.89;0
20200308;Krefeld;7.33;0
20200308;Wetteraukreis;8.09;0
20200308;Landkreis Ludwigsburg;7.11;0
20200308;Landkreis Mainz-Bingen;8.43;0
20200308;Ulm;8.75;0
20200308;Landkreis Teltow-Fläming;6.62;0
20200308;Kreis Dithmarschen;8.32;0
20200308;Kreis Mettmann;6.29;0
20200308;Landkreis Neuburg-Schrobenhausen;7.22;0
20200308;Weiden in der Oberpfalz;6.1000000000000005;0
20200308;Landkreis Hildburghausen;7.42;0
20200308;Landkreis Rotenburg (Wümme);7.38;0
20200308;Landkreis Hof;8.35;0
20200308;Landkreis Konstanz;7.48;0
20200308;Landkreis Stendal;7.86;0
20200308;Heidelberg;7.28;0
20200308;Rhein-Erft-Kreis;6.51;0
20200308;Landkreis Weilheim-Schongau;7.41;0
20200308;Mannheim;7.3500000000000005;0
20200308;Landkreis Osterholz;6.45;0
20200308;Schwabach;4.63;0
20200308;Landkreis Südwestpfalz;7.55;0
20200308;Landkreis Miltenberg;6.99;0
20200308;Coburg;6.09;0
20200308;Essen;7.04;0
20200308;Flensburg;6.66;0
20200308;Ilm-Kreis;6.58;0
20200308;Bremen;7.22;0
20200308;Landkreis Mecklenburgische Seenplatte;7.28;0
20200308;Landkreis Calw;7.11;0
20200308;Landkreis Aurich;8.1;0
20200308;Landkreis Prignitz;6.98;0
20200308;Hohenlohekreis;7.1000000000000005;0
20200308;Landkreis Schwäbisch Hall;7.6000000000000005;0
20200308;Landkreis Freudenstadt;8.34;0
20200308;Kreis Wesel;6.25;0
20200308;Landkreis Waldeck-Frankenberg;7.71;0
20200308;Köln;7.2700000000000005;0
20200308;Landkreis Mittelsachsen;7.2;0
20200308;Baden-Baden;7.34;0
20200308;Landkreis Erlangen-Höchstadt;7.36;0
20200308;Lahn-Dill-Kreis;7.74;0
20200308;Ortenaukreis;7.7;0
20200308;Landkreis Nordwestmecklenburg;7.25;0
20200308;Kassel;8.11;0
20200308;Landkreis Günzburg;7.5600000000000005;0
20200308;Kreis Gütersloh;6.58;0
20200308;Karlsruhe;7.68;0
20200308;Kreis Paderborn;7.0600000000000005;0
20200308;Landkreis Rhön-Grabfeld;8.25;0
20200308;Landkreis Saarlouis;7.67;0
20200308;Landkreis Neustadt an der Waldnaab;7.97;0
20200308;Landkreis Starnberg;6.5600000000000005;0
20200308;Amberg;5.72;0
20200308;Kreis Minden-Lübbecke;8.08;0
20200308;Landkreis Mayen-Koblenz;8.96;0
20200308;Landkreis Marburg-Biedenkopf;7.7700000000000005;0
20200308;Straubing;6.11;0
20200308;Landkreis Altötting;7.65;0
20200308;Landkreis Birkenfeld;7.640000000000001;0
20200308;Delmenhorst;8.27;0
20200308;Landkreis Vulkaneifel;5.87;0
20200308;Landkreis Hameln-Pyrmont;7.49;0
20200308;Braunschweig;6.890000000000001;0
20200308;Landkreis Havelland;6.41;0
20200308;Landkreis Bad Dürkheim;7.49;0
20200308;Landkreis Miesbach;7.59;0
20200308;Saalekreis;6.05;0
20200308;Bochum;6.95;0
20200308;Landkreis Bad Kreuznach;7.37;0
20200308;Landkreis Landsberg am Lech;6.94;0
20200308;Landkreis Sömmerda;8.15;0
20200308;Landkreis Verden;7.11;0
20200308;Landkreis Neuwied;8.44;0
20200308;Landkreis Ravensburg;8.5;0
20200308;Landkreis Leer;7.98;0
20200308;Kreis Ostholstein;6.59;0
20200308;Magdeburg;6.8;0
20200308;Landkreis Kronach;7.43;0
20200308;Kreis Segeberg;7.29;0
20200308;Kreis Plön;7.07;0
20200308;Landkreis Rosenheim;7.41;0
20200308;Landkreis Cloppenburg;8.4;0
20200308;Landkreis Tirschenreuth;7.7700000000000005;0
20200308;Landkreis Kulmbach;8.02;0
20200308;Mönchengladbach;7.19;0
20200308;Landkreis Fürth;6.2700000000000005;0
20200308;Landkreis Göttingen;7.65;0
20200308;Landkreis Vechta;7.38;0
20200308;Landkreis Oberhavel;6.6000000000000005;0
20200308;Kreis Euskirchen;7.34;0
20200308;Fürth;7.84;0
20200308;Landkreis Heidekreis;7.8100000000000005;0
20200308;Hochsauerlandkreis;7.09;0
20200308;Landkreis Reutlingen;7.86;0
20200308;Kreis Borken;6.91;0
20200308;Wilhelmshaven;7.57;0
20200308;Kreis Unna;6.34;0
20200308;Westerwaldkreis;6.95;0
20200308;Regensburg;8.28;0
20200308;Altmarkkreis Salzwedel;6.58;0
20200308;Kreis Groß-Gerau;6.78;0
20200308;Landkreis Görlitz;6.91;0
20200308;Landkreis Emmendingen;7.34;0
20200308;Landkreis Breisgau-Hochschwarzwald;7.97;0
20200308;Kreis Nordfriesland;8.44;0
20200308;Landkreis Bautzen;7.6000000000000005;0
20200308;Landkreis Ludwigslust-Parchim;7.0;0
20200308;Augsburg;8.08;0
20200308;Landkreis Regen;7.47;0
20200308;Berlin;7.22;0
20200308;Lübeck;7.55;0
20200308;Neckar-Odenwald-Kreis;7.61;0
20200308;Bamberg;6.7;0
20200308;Landkreis Dahme-Spreewald;6.47;0
20200308;Landkreis Holzminden;9.16;0
20200308;Erfurt;7.24;0
20200308;Mainz;7.87;0
20200308;Landkreis Mühldorf am Inn;7.890000000000001;0
20200308;Schwerin;7.22;0
20200308;Landkreis München;6.23;0
20200308;Landkreis Hildesheim;7.21;0
20200308;Landkreis Freyung-Grafenau;8.22;0
20200308;Neumünster;6.21;0
20200308;Landkreis Waldshut;5.65;0
20200308;Landkreis Limburg-Weilburg;9.22;0
20200308;Emden;8.65;0
20200308;Kreis Steinfurt;6.99;0
20200308;Landkreis Karlsruhe;6.45;0
20200308;Rhein-Kreis Neuss;6.17;0
20200308;Vogelsbergkreis;7.5;0
20200308;Dresden;8.120000000000001;0
20200308;München;7.34;0
20200308;Kreis Herzogtum Lauenburg;6.2;0
20200308;Landkreis Aschaffenburg;7.11;0
20200308;Landkreis Haßberge;8.15;0
20200308;Landkreis Esslingen;7.18;0
20200308;Landkreis Grafschaft Bentheim;7.84;0
20200308;Pforzheim;7.390000000000001;0
20200308;Landkreis Oldenburg;5.7;0
20200308;Kreis Viersen;6.29;0
20200308;Main-Kinzig-Kreis;6.88;0
20200308;Landkreis Aichach-Friedberg;7.08;0
20200308;Aschaffenburg;6.92;0
20200308;Schwarzwald-Baar-Kreis;7.34;0
20200308;Landkreis Cham;8.56;0
20200308;Landkreis Altenburger Land;6.3500000000000005;0
20200308;Landkreis Ebersberg;7.640000000000001;0
20200308;Landkreis Wolfenbüttel;7.390000000000001;0
20200308;Kreis Rendsburg-Eckernförde;7.0;0
20200308;Landkreis Kelheim;7.49;0
20200308;Landkreis Bayreuth;7.890000000000001;0
20200308;Landkreis Lindau;7.79;0
20200308;Landkreis Jerichower Land;7.78;0
20200308;Potsdam;7.0200000000000005;0
20200308;Alb-Donau-Kreis;7.82;0
20200308;Kaufbeuren;6.43;0
20200308;Landkreis Anhalt-Bitterfeld;7.3100000000000005;0
20200308;Kreis Coesfeld;6.67;0
20200308;Kreis Warendorf;6.72;0
20200308;Landkreis Amberg-Sulzbach;7.88;0
20200308;Landkreis Uckermark;7.38;0
20200308;Landkreis Dachau;7.390000000000001;0
20200308;Landkreis Lüchow-Dannenberg;8.44;0
20200308;Frankfurt am Main;7.78;0
20200308;Oldenburg;7.96;0
20200308;Wolfsburg;6.54;0
20200308;Rheingau-Taunus-Kreis;6.36;0
20200308;Landkreis Kassel;8.34;0
20200308;Kaiserslautern;6.99;0
20200308;Erlangen;6.65;0
20200308;Landkreis Bamberg;7.91;0
20200308;Landkreis Oberallgäu;8.48;0
20200308;Frankfurt (Oder);8.42;0
20200308;Landkreis Tübingen;8.01;0
20200308;Landkreis Germersheim;7.76;0
20200308;Landkreis Zwickau;6.51;0
20200308;Kreis Herford;7.59;0
20200308;Landkreis Diepholz;7.29;0
20200308;Passau;7.98;0
20200308;Landkreis Schweinfurt;8.85;0
20200308;Schwalm-Eder-Kreis;8.56;0
20200308;Eifelkreis Bitburg-Prüm;6.7700000000000005;0
20200308;Landkreis Vorpommern-Rügen;7.92;0
20200308;Landkreis Dillingen an der Donau;7.61;0
20200308;Landkreis Berchtesgadener Land;6.7;0
20200308;Zweibrücken;6.92;0
20200308;Würzburg;8.0;0
20200308;Hamburg;7.03;0
20200308;Landkreis Gotha;7.94;0
20200308;Kreis Pinneberg;6.16;0
20200308;Deutschland;7.29;0
20200308;Düsseldorf;7.33;0
20200308;Kyffhäuserkreis;7.66;0
20200308;Landkreis Kaiserslautern;7.91;0
20200308;Landkreis Weißenburg-Gunzenhausen;8.040000000000001;0
20200308;Landkreis Ostallgäu;8.39;0
20200308;Kreis Höxter;6.95;0
20200308;Heilbronn;7.4;0
20200308;Weimar;8.13;0
20200308;Landkreis Gießen;7.69;0
20200308;Schweinfurt;8.39;0
20200308;Kiel;6.98;0
20200308;Landkreis Märkisch-Oderland;6.73;0
