date;BundeslandID;outOfHomeDuration;percentageChangeComparedToBeforeCorona
20200308;Baden-Württemberg;7.45;0
20200308;Hessen;7.51;0
20200308;Berlin;7.2;0
20200308;Brandenburg;6.84;0
20200308;Sachsen;7.04;0
20200308;Bayern;7.48;0
20200308;Nordrhein-Westfalen;7.01;0
20200308;Hamburg;7.03;0
20200308;Mecklenburg-Vorpommern;7.42;0
20200308;Niedersachsen;7.390000000000001;0
20200308;Deutschland;7.29;0
20200308;Bremen;7.45;0
20200308;Thüringen;7.29;0
20200308;Saarland;7.15;0
20200308;Sachsen-Anhalt;7.15;0
20200308;Rheinland-Pfalz;7.74;0
20200308;Schleswig-Holstein;7.09;0
20200315;Baden-Württemberg;7.25;-3
20200315;Hessen;7.32;-2
20200315;Berlin;6.8;-5
20200315;Brandenburg;6.68;-2
20200315;Sachsen;6.8500000000000005;-3
20200315;Bayern;7.2700000000000005;-3
20200315;Nordrhein-Westfalen;6.82;-3
20200315;Hamburg;6.640000000000001;-6
20200315;Mecklenburg-Vorpommern;7.36;-1
20200315;Niedersachsen;7.18;-3
20200315;Deutschland;7.08;-3
20200315;Bremen;7.15;-4
20200315;Thüringen;7.140000000000001;-2
20200315;Saarland;6.92;-3
20200315;Sachsen-Anhalt;7.0;-2
20200315;Rheinland-Pfalz;7.57;-2
20200315;Schleswig-Holstein;6.890000000000001;-3
20200322;Baden-Württemberg;6.05;-19
20200322;Hessen;6.15;-18
20200322;Berlin;5.17;-28
20200322;Brandenburg;5.8100000000000005;-15
20200322;Sachsen;5.86;-17
20200322;Bayern;5.89;-21
20200322;Nordrhein-Westfalen;5.73;-18
20200322;Hamburg;5.07;-28
20200322;Mecklenburg-Vorpommern;6.4;-14
20200322;Niedersachsen;6.0200000000000005;-19
20200322;Deutschland;5.91;-19
20200322;Bremen;5.74;-23
20200322;Thüringen;6.34;-13
20200322;Saarland;5.97;-16
20200322;Sachsen-Anhalt;6.19;-13
20200322;Rheinland-Pfalz;6.47;-16
20200322;Schleswig-Holstein;5.73;-19
20200329;Baden-Württemberg;5.36;-28
20200329;Hessen;5.5;-27
20200329;Berlin;4.36;-39
20200329;Brandenburg;5.24;-23
20200329;Sachsen;5.14;-27
20200329;Bayern;5.24;-30
20200329;Nordrhein-Westfalen;5.1000000000000005;-27
20200329;Hamburg;4.44;-37
20200329;Mecklenburg-Vorpommern;5.97;-20
20200329;Niedersachsen;5.4;-27
20200329;Deutschland;5.2700000000000005;-28
20200329;Bremen;5.05;-32
20200329;Thüringen;5.73;-21
20200329;Saarland;5.33;-25
20200329;Sachsen-Anhalt;5.65;-21
20200329;Rheinland-Pfalz;5.8500000000000005;-24
20200329;Schleswig-Holstein;5.23;-26
20200405;Baden-Württemberg;5.78;-22
20200405;Hessen;5.8100000000000005;-23
20200405;Berlin;4.67;-35
20200405;Brandenburg;5.51;-19
20200405;Sachsen;5.36;-24
20200405;Bayern;5.57;-26
20200405;Nordrhein-Westfalen;5.34;-24
20200405;Hamburg;4.76;-32
20200405;Mecklenburg-Vorpommern;6.25;-16
20200405;Niedersachsen;5.69;-23
20200405;Deutschland;5.58;-23
20200405;Bremen;5.28;-29
20200405;Thüringen;6.1000000000000005;-16
20200405;Saarland;5.55;-22
20200405;Sachsen-Anhalt;5.95;-17
20200405;Rheinland-Pfalz;6.2;-20
20200405;Schleswig-Holstein;5.51;-22
20200412;Baden-Württemberg;5.82;-22
20200412;Hessen;5.82;-22
20200412;Berlin;4.9;-32
20200412;Brandenburg;5.49;-20
20200412;Sachsen;5.51;-22
20200412;Bayern;5.61;-25
20200412;Nordrhein-Westfalen;5.42;-23
20200412;Hamburg;4.91;-30
20200412;Mecklenburg-Vorpommern;6.28;-15
20200412;Niedersachsen;5.76;-22
20200412;Deutschland;5.64;-23
20200412;Bremen;5.54;-26
20200412;Thüringen;6.13;-16
20200412;Saarland;5.51;-23
20200412;Sachsen-Anhalt;6.01;-16
20200412;Rheinland-Pfalz;6.19;-20
20200412;Schleswig-Holstein;5.6000000000000005;-21
20200419;Baden-Württemberg;5.7;-24
20200419;Hessen;5.62;-25
20200419;Berlin;4.76;-34
20200419;Brandenburg;5.45;-20
20200419;Sachsen;5.37;-24
20200419;Bayern;5.46;-27
20200419;Nordrhein-Westfalen;5.17;-26
20200419;Hamburg;4.8;-32
20200419;Mecklenburg-Vorpommern;6.25;-16
20200419;Niedersachsen;5.68;-23
20200419;Deutschland;5.49;-25
20200419;Bremen;5.38;-28
20200419;Thüringen;6.0;-18
20200419;Saarland;5.39;-25
20200419;Sachsen-Anhalt;5.93;-17
20200419;Rheinland-Pfalz;6.04;-22
20200419;Schleswig-Holstein;5.47;-23
20200426;Baden-Württemberg;6.24;-16
20200426;Hessen;6.22;-17
20200426;Berlin;5.3;-26
20200426;Brandenburg;6.03;-12
20200426;Sachsen;6.08;-14
20200426;Bayern;6.07;-19
20200426;Nordrhein-Westfalen;5.75;-18
20200426;Hamburg;5.26;-25
20200426;Mecklenburg-Vorpommern;6.78;-9
20200426;Niedersachsen;6.17;-17
20200426;Deutschland;6.0600000000000005;-17
20200426;Bremen;5.84;-22
20200426;Thüringen;6.6000000000000005;-9
20200426;Saarland;5.98;-16
20200426;Sachsen-Anhalt;6.47;-9
20200426;Rheinland-Pfalz;6.66;-14
20200426;Schleswig-Holstein;5.95;-16
