mode,dist_group,share
walk,0 - 1000,0.525302484
walk,1000 - 2000,0.255555556
walk,2000 - 5000,0.149425287
walk,5000 - 10000,0.054347826
walk,10000 - 20000,0.010989011
walk,20000 - 50000,0
walk,50000 - 100000,0
walk,100000+,0
bike,0 - 1000,0.138114867
bike,1000 - 2000,0.144444444
bike,2000 - 5000,0.091954023
bike,5000 - 10000,0.032608696
bike,10000 - 20000,0.021978022
bike,20000 - 50000,0.011363636
bike,50000 - 100000,0.011111111
bike,100000+,0
car,0 - 1000,0.256239029
car,1000 - 2000,0.466666667
car,2000 - 5000,0.551724138
car,5000 - 10000,0.663043478
car,10000 - 20000,0.703296703
car,20000 - 50000,0.727272727
car,50000 - 100000,0.622222222
car,100000+,0.592592593
ride,0 - 1000,0.08034362
ride,1000 - 2000,0.122222222
ride,2000 - 5000,0.16091954
ride,5000 - 10000,0.173913043
ride,10000 - 20000,0.197802198
ride,20000 - 50000,0.193181818
ride,50000 - 100000,0.233333333
ride,100000+,0.259259259
pt,0 - 1000,0
pt,1000 - 2000,0.011111111
pt,2000 - 5000,0.045977011
pt,5000 - 10000,0.076086957
pt,10000 - 20000,0.065934066
pt,20000 - 50000,0.068181818
pt,50000 - 100000,0.133333333
pt,100000+,0.148148148
